run,label,dt,n_snaps,t_final,E0,E_final,dE_rel,L0,L_final,dL_rel
dt020,T/20,0.3141592653589793,20,6.2832,-4.999677959555521e-07,-4.999988674723812e-07,6.21470364299784e-05,-9.999994999996248e-07,-9.999994999996248e-07,0.0
dt050,T/50,0.12566370614359174,25,6.2829999999999995,-4.999995042391815e-07,-4.999999994115607e-07,9.903457402319585e-07,-9.999994999996248e-07,-9.999994999996246e-07,2.1175834269282587e-16
dt100,T/100,0.06283185307179587,50,6.2832,-4.999999922940861e-07,-4.999999999981749e-07,1.540817795174503e-08,-9.999994999996248e-07,-9.999994999996246e-07,2.1175834269282587e-16
dt200,T/200,0.031415926535897934,40,6.2832,-4.999999992500893e-07,-5.000000000002427e-07,1.5003066865578979e-09,-9.999994999996248e-07,-9.999994999996248e-07,0.0
dt500,T/500,0.012566370614359173,50,6.283,-4.999999999879612e-07,-5.000000000002522e-07,2.4581954921095737e-11,-9.999994999996244e-07,-9.999994999996227e-07,1.6940667415426078e-15
