step,kinetic_energy,p_norm,L_norm,dp_abs,dL_abs,dp_rel,dL_rel,active_total,force_evals,dt_min_effective,dt_max_effective,t,PE,E,dE_rel,Q_virial,r_hm
0,2.945243112740431,2.1901069056567693e-16,0.00196737314855832,0.0,0.0,0.0,0.0,,,,,,,,,,
1,2.1699996507282213,1.5588332307432314e-05,0.001967424480961715,1.558833230724618e-05,9.566202995702764e-08,0.9999999999880594,4.862297429086894e-05,1000.0,1.0,0.025,0.025,,,,,,
2,0.8586258377306349,0.00015998642453684902,0.001967450062287738,0.00015998642453674667,5.52584741676516e-07,0.9999999999993603,0.0002808634141564814,9325.0,28.0,0.00078125,0.00625,,,,,,
3,0.512434891080279,0.00017773894659113532,0.001967750239031728,0.00017773894659100722,8.838024966697799e-07,0.9999999999992792,0.0004491436357820864,6793.0,22.0,0.00078125,0.0125,,,,,,
4,0.7273018087436208,0.0003029867604733633,0.0019686682090073395,0.00030298676047340597,6.16086849142127e-06,1.0000000000001408,0.003129460039651761,6028.0,23.0,0.00078125,0.025,,,,,,
5,1.5076738395256293,0.00030262617607880536,0.0019677111548036634,0.00030262617607881544,5.598500380947546e-06,1.0000000000000333,0.0028451840440504896,8704.0,38.0,0.000390625,0.025,,,,,,
6,2.0846587125254827,0.00029450196891394806,0.0019680576000366337,0.0002945019689138771,4.913107916751118e-06,0.9999999999997591,0.0024964248590385084,11189.0,57.0,0.000390625,0.025,,,,,,
7,1.8133406901587472,0.0002658494069322088,0.0019682396802610897,0.000265849406932104,4.229278526701542e-06,0.9999999999996056,0.0021487619465839253,10470.0,60.0,0.000390625,0.025,,,,,,
8,1.4620380883745445,0.0002381406192017761,0.00196756228503757,0.00023814061920165286,3.265379679854031e-06,0.9999999999994824,0.00165960676553204,9719.0,44.0,0.000390625,0.025,,,,,,
9,1.3144676355497833,0.00022186465568363022,0.001967429978259484,0.00022186465568356,4.370212908279754e-06,0.9999999999996835,0.0022212800234679394,9090.0,43.0,0.000390625,0.025,,,,,,
10,1.388608499889067,0.00023945056021404978,0.001967611314045845,0.00023945056021400818,5.182753651290549e-06,0.9999999999998263,0.0026340332637311676,8972.0,38.0,0.000390625,0.025,0.25,-4.776816110223583,-3.3882076103345162,0.0,0.29069749972520337,0.05153753804965659
11,1.4934882310343736,0.00026640428130839333,0.0019678425095950073,0.00026640428130834276,5.86014923515752e-06,0.9999999999998102,0.002977956420081387,9344.0,43.0,0.000390625,0.025,,,,,,
12,1.4454009080117398,0.00036235463824374806,0.0019684366078834056,0.00036235463824369954,6.167719965672859e-06,0.9999999999998661,0.0031333089117382366,9536.0,46.0,0.000390625,0.025,,,,,,
13,1.3823162120404622,0.0007453391195909988,0.0019672009723852362,0.0007453391195908865,6.093896057689816e-06,0.9999999999998493,0.003097478514513319,9251.0,43.0,0.000390625,0.025,,,,,,
14,1.3738081980198678,0.0007606687964607756,0.0019665375729370402,0.0007606687964606607,6.6013811662170874e-06,0.9999999999998489,0.003355429126932297,8868.0,39.0,0.000390625,0.025,,,,,,
15,1.4716797284713277,0.0007236426060901822,0.0019661851243889497,0.000723642606090072,6.597884834753522e-06,0.9999999999998478,0.0033536519696776464,9207.0,42.0,0.000390625,0.025,,,,,,
16,1.5757082313275326,0.0006758344874748272,0.0019671206780229873,0.0006758344874747255,5.991783601477348e-06,0.9999999999998496,0.0030455755716032283,9595.0,40.0,0.000390625,0.025,,,,,,
17,1.5669562902564271,0.0006645101464848939,0.0019672617927382037,0.0006645101464847862,6.138801101335844e-06,0.999999999999838,0.003120303388218104,9541.0,41.0,0.000390625,0.025,,,,,,
18,1.5321723467579216,0.0007164348207431777,0.0019676510488718696,0.0007164348207430798,6.467543674634937e-06,0.9999999999998633,0.0032869363083169803,9426.0,42.0,0.000390625,0.025,,,,,,
19,1.5152232307756996,0.0007410023334110101,0.001967478108061902,0.0007410023334108968,5.878446291079414e-06,0.9999999999998471,0.0029878077255304654,9397.0,44.0,0.000390625,0.025,,,,,,
20,1.5111176051628998,0.000782984223874031,0.0019683905902609204,0.000782984223873914,5.385898849058662e-06,0.9999999999998506,0.0027361941657853247,9424.0,47.0,0.000390625,0.025,0.5,-4.897025299847051,-3.3859076946841515,0.0006788000957643863,0.30857868045119075,0.05314190214875853
21,1.4303983906001576,0.000831709082777906,0.001969312829420958,0.0008317090827777721,5.6099269940118895e-06,0.999999999999839,0.002848672344079224,9432.0,47.0,0.000390625,0.025,,,,,,
22,1.4043976380699392,0.000838322021988943,0.0019688810120050077,0.0008383220219887976,5.506166407759931e-06,0.9999999999998266,0.0027965968355562194,9267.0,46.0,0.000390625,0.025,,,,,,
23,1.3622610202091419,0.0008007325249456884,0.0019679019671065253,0.0008007325249455507,5.3777385919172995e-06,0.999999999999828,0.0027327268745121363,9059.0,38.0,0.000390625,0.025,,,,,,
24,1.3796789653333426,0.0007888293747445659,0.0019680498241310953,0.0007888293747444252,4.660817224765533e-06,0.9999999999998216,0.0023682414782477926,9019.0,44.0,0.000390625,0.025,,,,,,
25,1.4786135558776903,0.0008191009925632263,0.0019684502340798988,0.0008191009925630942,6.0167919748626095e-06,0.9999999999998388,0.0030566137109760377,9182.0,45.0,0.000390625,0.025,,,,,,
26,1.637844792468888,0.0008292229118521997,0.0019682832800034153,0.0008292229118520752,5.812092440149947e-06,0.9999999999998499,0.002952873958335846,9416.0,42.0,0.000390625,0.025,,,,,,
27,1.7093576830572352,0.000807243962461345,0.001968395653836142,0.0008072439624612284,6.056736306723791e-06,0.9999999999998554,0.00307699130249552,9775.0,52.0,0.000390625,0.025,,,,,,
28,1.5593063115890011,0.0008947076146532488,0.0019687255511831327,0.0008947076146531424,6.485799795693286e-06,0.9999999999998811,0.0032944154109218297,9743.0,50.0,0.000390625,0.025,,,,,,
29,1.4262155662306157,0.0009078013123608707,0.0019684419153085495,0.0009078013123607609,7.384506294058187e-06,0.999999999999879,0.003751447394321859,9256.0,41.0,0.000390625,0.025,,,,,,
30,1.3860706633016455,0.0009491062612042401,0.0019687118459721484,0.0009491062612041511,8.074424371054349e-06,0.9999999999999062,0.004101374402543509,9165.0,34.0,0.000390625,0.025,0.75,-4.768550634036017,-3.382479970734371,0.0016904629995738718,0.2906691717622593,0.05562929654576668
