step,kinetic_energy,p_norm,L_norm,dp_abs,dL_abs,dp_rel,dL_rel,active_total,force_evals,dt_min_effective,dt_max_effective,t,PE,E,dE_rel,Q_virial,r_hm
0,2.945243112740431,2.1901069056567693e-16,0.00196737314855832,0.0,0.0,0.0,0.0,,,,,,,,,,
1,1.5024857698022072,5.531847432855996e-06,0.001967375336151525,5.531847432972296e-06,8.76958096777013e-09,1.0000000000210238,4.457502748268014e-06,63413.0,64.0,0.000390625,0.0015625,,,,,,
2,0.8364590067964639,5.125697392659327e-06,0.0019673725679352464,5.125697392749038e-06,5.0938081192332264e-09,1.0000000000175022,2.589141832583179e-06,63124.0,64.0,0.000390625,0.0015625,,,,,,
3,1.383141499814513,6.621658392541254e-06,0.001967369396337575,6.62165839270378e-06,1.126585720571131e-08,1.0000000000245446,5.726344905117196e-06,62532.0,64.0,0.000390625,0.00078125,,,,,,
4,2.0197877582396573,8.492073538376617e-06,0.0019673787704738953,8.492073538584215e-06,3.508511036851303e-08,1.000000000024446,1.783342938079069e-05,62863.0,64.0,0.000390625,0.0015625,,,,,,
5,1.7129163355302515,4.809020287434058e-06,0.0019673842025281292,4.809020287626981e-06,3.68122040457964e-08,1.0000000000401168,1.8711243080274795e-05,62951.0,64.0,0.000390625,0.0015625,,,,,,
6,1.4890991691290485,5.233437980954198e-06,0.0019673876250027103,5.233437981170862e-06,4.0843736486889275e-08,1.0000000000414,2.0760391072823286e-05,62823.0,64.0,0.000390625,0.0015625,,,,,,
7,1.4514182007838115,4.6092165826207295e-06,0.0019673848346710337,4.609216582768897e-06,3.2588892316979456e-08,1.0000000000321458,1.6564574323573375e-05,62805.0,64.0,0.000390625,0.0015625,,,,,,
8,1.5495893034899055,6.967878070503887e-06,0.00196738822735282,6.96787807067085e-06,3.5086491605983936e-08,1.0000000000239617,1.7834045725278055e-05,62908.0,64.0,0.000390625,0.0015625,,,,,,
9,1.6694133406632878,8.810567349697206e-06,0.001967381745088796,8.810567349837114e-06,3.5340810073984176e-08,1.0000000000158795,1.796337195981713e-05,62916.0,64.0,0.000390625,0.0015625,,,,,,
10,1.6428510160664942,8.447153944454188e-06,0.0019673800861787997,8.447153944598541e-06,3.4649155335629766e-08,1.000000000017089,1.7611825787526435e-05,63008.0,64.0,0.000390625,0.0015625,0.25,-6.5133038074476275,-4.870452791381133,0.0,0.2522300609082565,0.03781375383322789
11,1.592382348596782,7.84535644823044e-06,0.001967378023739393,7.845356448415406e-06,2.9292182683320203e-08,1.0000000000235765,1.4888944742629883e-05,62823.0,64.0,0.000390625,0.0015625,,,,,,
12,1.5761620834080137,7.841568183208961e-06,0.0019673692433351975,7.841568183353551e-06,2.7965007196007945e-08,1.000000000018439,1.4214388976743202e-05,62789.0,64.0,0.000390625,0.0015625,,,,,,
