step,kinetic_energy,p_norm,L_norm,dp_abs,dL_abs,dp_rel,dL_rel,active_total,force_evals,dt_min_effective,dt_max_effective,t,PE,E,dE_rel,Q_virial,r_hm
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1,0.00022894176097966934,8.145875436372498e-08,8.870340163465042e-08,8.145875436372498e-08,8.870340163465042e-08,1.0,1.0,3725.0,4.0,0.00625,0.025,,,,,,
2,0.0009173326364047644,1.6485011902608282e-07,1.7063583178515845e-07,1.6485011902608282e-07,1.7063583178515845e-07,1.0,1.0,3726.0,4.0,0.00625,0.025,,,,,,
3,0.0020698978879325567,2.454239804576609e-07,2.550581630892881e-07,2.454239804576609e-07,2.550581630892881e-07,1.0,1.0,3728.0,4.0,0.00625,0.025,,,,,,
4,0.0036946058090774067,3.224707275082284e-07,3.434475120862898e-07,3.224707275082284e-07,3.434475120862898e-07,1.0,1.0,3730.0,4.0,0.00625,0.025,,,,,,
5,0.005802810330725867,4.0976625495850525e-07,4.295230684005718e-07,4.0976625495850525e-07,4.295230684005718e-07,1.0,1.0,3732.0,4.0,0.00625,0.025,,,,,,
6,0.00840944538735659,4.957362785136203e-07,5.047621728932238e-07,4.957362785136203e-07,5.047621728932238e-07,1.0,1.0,3735.0,4.0,0.00625,0.025,,,,,,
7,0.011533280515882514,5.849160209363795e-07,5.645921047743126e-07,5.849160209363795e-07,5.645921047743126e-07,1.0,1.0,3743.0,4.0,0.00625,0.025,,,,,,
8,0.015197232381174252,6.708732135634313e-07,5.804177883291431e-07,6.708732135634313e-07,5.804177883291431e-07,1.0,1.0,3747.0,4.0,0.00625,0.025,,,,,,
9,0.019428735112284802,7.447506216184629e-07,5.731774428382237e-07,7.447506216184629e-07,5.731774428382237e-07,1.0,1.0,3752.0,4.0,0.00625,0.025,,,,,,
10,0.02426014472914701,8.005384869944005e-07,5.40066095491564e-07,8.005384869944005e-07,5.40066095491564e-07,1.0,1.0,3765.0,4.0,0.00625,0.025,0.25,-0.6392735145778556,-0.6150133698487086,0.0,0.03794955394823012,0.785539291164698
11,0.029729231697994924,8.793861187823775e-07,5.3297757716404e-07,8.793861187823775e-07,5.3297757716404e-07,1.0,1.0,3767.0,4.0,0.00625,0.025,,,,,,
12,0.035879744548006624,9.7205756952252e-07,5.789017388713031e-07,9.7205756952252e-07,5.789017388713031e-07,1.0,1.0,3788.0,8.0,0.003125,0.025,,,,,,
13,0.04276222108899372,1.1420310142397447e-06,6.687696017335554e-07,1.1420310142397447e-06,6.687696017335554e-07,1.0,1.0,3795.0,8.0,0.003125,0.025,,,,,,
14,0.05043518924909916,9.920753866514989e-07,6.35970275504982e-07,9.920753866514989e-07,6.35970275504982e-07,1.0,1.0,3811.0,8.0,0.003125,0.025,,,,,,
15,0.05896708183283044,9.936674026086093e-07,6.938157501449681e-07,9.936674026086093e-07,6.938157501449681e-07,1.0,1.0,3834.0,8.0,0.003125,0.025,,,,,,
16,0.06843769682069348,1.2896991488662722e-06,7.079918953000694e-07,1.2896991488662722e-06,7.079918953000694e-07,1.0,1.0,3864.0,8.0,0.003125,0.025,,,,,,
17,0.07894116375398133,1.3398285390643276e-06,7.709695427599407e-07,1.3398285390643276e-06,7.709695427599407e-07,1.0,1.0,3894.0,8.0,0.003125,0.025,,,,,,
18,0.09058982190083091,1.3224608516070503e-06,7.754382096194452e-07,1.3224608516070503e-06,7.754382096194452e-07,1.0,1.0,3942.0,8.0,0.003125,0.0125,,,,,,
19,0.10352043881270444,1.4355128172245566e-06,7.875785858885328e-07,1.4355128172245566e-06,7.875785858885328e-07,1.0,1.0,4016.0,8.0,0.003125,0.025,,,,,,
20,0.11789892068031986,2.0457288540539785e-06,8.21405286508602e-07,2.0457288540539785e-06,8.21405286508602e-07,1.0,1.0,4090.0,8.0,0.003125,0.025,0.5,-0.7329083511732387,-0.6150094304929189,6.405317319610338e-06,0.160864479837878,0.7090124795135515
21,0.13392636444882336,1.9978518184576132e-06,8.483884461798342e-07,1.9978518184576132e-06,8.483884461798342e-07,1.0,1.0,4191.0,8.0,0.003125,0.025,,,,,,
22,0.1518284287952905,2.021722806400346e-06,8.569427558169513e-07,2.021722806400346e-06,8.569427558169513e-07,1.0,1.0,4315.0,8.0,0.003125,0.025,,,,,,
23,0.17181288964773023,3.0894129913042168e-06,9.511564306130089e-07,3.0894129913042168e-06,9.511564306130089e-07,1.0,1.0,4426.0,8.0,0.003125,0.025,,,,,,
24,0.19403140474971753,3.6102444600562253e-06,1.2107995626618932e-06,3.6102444600562253e-06,1.2107995626618932e-06,1.0,1.0,4577.0,8.0,0.003125,0.025,,,,,,
25,0.21862998337266232,4.002909202084078e-06,1.4723843192593861e-06,4.002909202084078e-06,1.4723843192593861e-06,1.0,1.0,4778.0,8.0,0.003125,0.025,,,,,,
26,0.24583319114936,4.189725374156793e-06,1.4460933789682905e-06,4.189725374156793e-06,1.4460933789682905e-06,1.0,1.0,4980.0,8.0,0.003125,0.025,,,,,,
27,0.2759201012910983,4.1698495204796895e-06,1.4841506128217402e-06,4.1698495204796895e-06,1.4841506128217402e-06,1.0,1.0,5284.0,8.0,0.003125,0.0125,,,,,,
28,0.30921098343216347,5.0538179722949955e-06,1.8169408083323998e-06,5.0538179722949955e-06,1.8169408083323998e-06,1.0,1.0,5543.0,8.0,0.003125,0.0125,,,,,,
29,0.34610576732769543,5.484022576794962e-06,2.861194004246454e-06,5.484022576794962e-06,2.861194004246454e-06,1.0,1.0,5791.0,8.0,0.003125,0.025,,,,,,
30,0.38727810152193176,4.906877087861268e-06,3.2990036456860214e-06,4.906877087861268e-06,3.2990036456860214e-06,1.0,1.0,6159.0,8.0,0.003125,0.0125,0.75,-1.0022801746259484,-0.6150020731040167,1.836829123681032e-05,0.3863970487757719,0.5719324550366466
