step,kinetic_energy,p_norm,L_norm,dp_abs,dL_abs,dp_rel,dL_rel,active_total,force_evals,dt_min_effective,dt_max_effective,t,PE,E,dE_rel,Q_virial,r_hm
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1,0.00022900165329722664,7.234478575498943e-08,7.858404037425302e-08,7.234478575498943e-08,7.858404037425302e-08,1.0,1.0,1000.0,1.0,0.025,0.025,,,,,,
2,0.0009175733704700069,1.4933332955913792e-07,1.5215407036114212e-07,1.4933332955913792e-07,1.5215407036114212e-07,1.0,1.0,1000.0,1.0,0.025,0.025,,,,,,
3,0.00207044331369126,2.2668344966645831e-07,2.2397381424272635e-07,2.2668344966645831e-07,2.2397381424272635e-07,1.0,1.0,1003.0,2.0,0.0125,0.025,,,,,,
4,0.00369558720434269,3.0054533833912246e-07,2.9526053481992275e-07,3.0054533833912246e-07,2.9526053481992275e-07,1.0,1.0,1010.0,3.0,0.00625,0.025,,,,,,
5,0.005804375706575066,3.434132453573445e-07,4.093938063258341e-07,3.434132453573445e-07,4.093938063258341e-07,1.0,1.0,1026.0,3.0,0.00625,0.025,,,,,,
6,0.00841176773673359,3.892898930143909e-07,5.914929638602223e-07,3.892898930143909e-07,5.914929638602223e-07,1.0,1.0,1059.0,4.0,0.00625,0.025,,,,,,
7,0.011536531952474087,4.598415031507458e-07,7.591264071839777e-07,4.598415031507458e-07,7.591264071839777e-07,1.0,1.0,1121.0,4.0,0.00625,0.025,,,,,,
8,0.015201630566964748,5.306364038591986e-07,8.326533436001959e-07,5.306364038591986e-07,8.326533436001959e-07,1.0,1.0,1202.0,4.0,0.00625,0.025,,,,,,
9,0.019434447660009388,6.694527918063856e-07,8.725720452046125e-07,6.694527918063856e-07,8.725720452046125e-07,1.0,1.0,1328.0,4.0,0.00625,0.025,,,,,,
10,0.024267298961010188,8.413173469574262e-07,8.518970528343452e-07,8.413173469574262e-07,8.518970528343452e-07,1.0,1.0,1448.0,4.0,0.00625,0.025,0.25,-0.6392714184073519,-0.6150041194463417,0.0,0.03796086961226656,0.7855380022523821
11,0.029737918610863924,1.0148818098184411e-06,8.593519860945381e-07,1.0148818098184411e-06,8.593519860945381e-07,1.0,1.0,1609.0,4.0,0.00625,0.025,,,,,,
12,0.03589005831734397,1.188551702923826e-06,9.437735721834991e-07,1.188551702923826e-06,9.437735721834991e-07,1.0,1.0,1809.0,5.0,0.003125,0.025,,,,,,
13,0.04277421200852176,1.3392848603588957e-06,1.076883305191062e-06,1.3392848603588957e-06,1.076883305191062e-06,1.0,1.0,1957.0,8.0,0.003125,0.025,,,,,,
14,0.050449086881623854,1.5049167597322694e-06,1.1648586819467569e-06,1.5049167597322694e-06,1.1648586819467569e-06,1.0,1.0,2093.0,14.0,0.0015625,0.025,,,,,,
15,0.058982949547968885,1.7582145544983256e-06,1.2025975024837907e-06,1.7582145544983256e-06,1.2025975024837907e-06,1.0,1.0,2207.0,16.0,0.0015625,0.025,,,,,,
16,0.06845579274678275,1.9055893501722297e-06,1.2540143775955333e-06,1.9055893501722297e-06,1.2540143775955333e-06,1.0,1.0,2295.0,8.0,0.003125,0.025,,,,,,
17,0.07896168738870293,2.0658419409026033e-06,1.3106216043736781e-06,2.0658419409026033e-06,1.3106216043736781e-06,1.0,1.0,2380.0,8.0,0.003125,0.025,,,,,,
18,0.09061302014230237,2.296454761439488e-06,1.573326118694941e-06,2.296454761439488e-06,1.573326118694941e-06,1.0,1.0,2464.0,12.0,0.0015625,0.025,,,,,,
19,0.10354675564116303,2.3466886155563e-06,1.6536854068127261e-06,2.3466886155563e-06,1.6536854068127261e-06,1.0,1.0,2587.0,14.0,0.0015625,0.025,,,,,,
20,0.11792876521623287,2.6232510416498573e-06,1.6838589682815215e-06,2.6232510416498573e-06,1.6838589682815215e-06,1.0,1.0,2718.0,14.0,0.0015625,0.025,0.5,-0.7329128507205553,-0.6149840855043225,3.2575297279717165e-05,0.16090421269089836,0.7090096866757866
21,0.13395970796269427,2.8458187194466538e-06,1.7269623157142721e-06,2.8458187194466538e-06,1.7269623157142721e-06,1.0,1.0,2836.0,16.0,0.0015625,0.025,,,,,,
22,0.15186565881760053,2.9525496024186548e-06,1.7775099942156245e-06,2.9525496024186548e-06,1.7775099942156245e-06,1.0,1.0,2998.0,15.0,0.0015625,0.025,,,,,,
23,0.1718543124532064,2.9219713193661838e-06,1.831313985118328e-06,2.9219713193661838e-06,1.831313985118328e-06,1.0,1.0,3160.0,16.0,0.0015625,0.025,,,,,,
24,0.1940763753944478,3.272786689448409e-06,1.8206610709249045e-06,3.272786689448409e-06,1.8206610709249045e-06,1.0,1.0,3345.0,15.0,0.0015625,0.025,,,,,,
25,0.2186788239419363,3.5549548079315557e-06,1.7800714186439195e-06,3.5549548079315557e-06,1.7800714186439195e-06,1.0,1.0,3586.0,15.0,0.0015625,0.025,,,,,,
26,0.2458857191053666,3.8045820208679106e-06,2.3382641972421898e-06,3.8045820208679106e-06,2.3382641972421898e-06,1.0,1.0,3800.0,16.0,0.0015625,0.0125,,,,,,
27,0.27597661526237005,4.123639987600477e-06,2.5136570054903194e-06,4.123639987600477e-06,2.5136570054903194e-06,1.0,1.0,4019.0,16.0,0.0015625,0.0125,,,,,,
28,0.3092720336785831,4.946493900507206e-06,2.9943363074686794e-06,4.946493900507206e-06,2.9943363074686794e-06,1.0,1.0,4205.0,21.0,0.00078125,0.0125,,,,,,
29,0.3461727344368882,5.171107373496856e-06,3.0645806396016158e-06,5.171107373496856e-06,3.0645806396016158e-06,1.0,1.0,4346.0,29.0,0.00078125,0.025,,,,,,
30,0.3873476129946259,5.383818819307303e-06,3.3055929971639365e-06,5.383818819307303e-06,3.3055929971639365e-06,1.0,1.0,4468.0,20.0,0.00078125,0.025,0.75,-1.0022949834219357,-0.6149473704273098,9.227420961495776e-05,0.3864606921129968,0.5719354111717789
31,0.4332952405275415,7.108766103473444e-06,2.4062263206956416e-06,7.108766103473444e-06,2.4062263206956416e-06,1.0,1.0,4738.0,21.0,0.00078125,0.025,,,,,,
32,0.4842173414252461,7.6085562215740704e-06,2.51001743114093e-06,7.6085562215740704e-06,2.51001743114093e-06,1.0,1.0,4938.0,25.0,0.000390625,0.0125,,,,,,
33,0.5411437272997616,8.831573292258857e-06,2.3081856270336114e-06,8.831573292258857e-06,2.3081856270336114e-06,1.0,1.0,5032.0,22.0,0.00078125,0.0125,,,,,,
34,0.6066490835684564,8.900084322458126e-06,1.9356880094136134e-06,8.900084322458126e-06,1.9356880094136134e-06,1.0,1.0,5011.0,16.0,0.0015625,0.025,,,,,,
35,0.6839622125928985,8.15396186736615e-06,3.89195673836483e-06,8.15396186736615e-06,3.89195673836483e-06,1.0,1.0,5105.0,18.0,0.00078125,0.0125,,,,,,
36,0.776254274214386,9.159317628787912e-06,5.87965527526578e-06,9.159317628787912e-06,5.87965527526578e-06,1.0,1.0,5331.0,16.0,0.0015625,0.0125,,,,,,
37,0.8890736722935249,7.4117306782673094e-06,7.623106911113834e-06,7.4117306782673094e-06,7.623106911113834e-06,1.0,1.0,5538.0,16.0,0.0015625,0.0125,,,,,,
38,1.0293866223433978,7.805758972087949e-06,1.0181949780267695e-05,7.805758972087949e-06,1.0181949780267695e-05,1.0,1.0,5987.0,19.0,0.00078125,0.0125,,,,,,
39,1.1975951982650461,6.348680934773708e-06,1.533527179345592e-05,6.348680934773708e-06,1.533527179345592e-05,1.0,1.0,6753.0,24.0,0.00078125,0.0125,,,,,,
40,1.3632069059438428,7.982451104621545e-06,1.7899237782606606e-05,7.982451104621545e-06,1.7899237782606606e-05,1.0,1.0,7314.0,29.0,0.00078125,0.0125,1.0,-1.9781639248518483,-0.6149570189080056,7.658572820377588e-05,0.6891273715073629,0.37751825077243567
41,1.4912156665406247,9.800480660368462e-06,1.686695860111739e-05,9.800480660368462e-06,1.686695860111739e-05,1.0,1.0,7344.0,31.0,0.00078125,0.025,,,,,,
42,1.5578290951484592,3.8099720369510126e-05,1.5955204174771114e-05,3.8099720369510126e-05,1.5955204174771114e-05,1.0,1.0,7325.0,32.0,0.00078125,0.0125,,,,,,
43,1.5497817970119054,4.1053975788483945e-05,1.5157403882531888e-05,4.1053975788483945e-05,1.5157403882531888e-05,1.0,1.0,7380.0,33.0,0.000390625,0.025,,,,,,
44,1.4840772882621136,4.614561539438628e-05,1.4499939481312793e-05,4.614561539438628e-05,1.4499939481312793e-05,1.0,1.0,7228.0,30.0,0.00078125,0.0125,,,,,,
45,1.3982845950989995,5.002477179911937e-05,1.3047035268545175e-05,5.002477179911937e-05,1.3047035268545175e-05,1.0,1.0,6702.0,27.0,0.00078125,0.0125,,,,,,
46,1.3163625655913709,4.858202359639299e-05,1.5913679112040533e-05,4.858202359639299e-05,1.5913679112040533e-05,1.0,1.0,6233.0,24.0,0.00078125,0.025,,,,,,
47,1.2436461501478377,4.1934256262974534e-05,1.8036852615376255e-05,4.1934256262974534e-05,1.8036852615376255e-05,1.0,1.0,5773.0,32.0,0.00078125,0.025,,,,,,
48,1.1870586214133676,4.96524932630821e-05,2.061106133629885e-05,4.96524932630821e-05,2.061106133629885e-05,1.0,1.0,5464.0,29.0,0.00078125,0.025,,,,,,
49,1.1444030240583263,4.965878764512432e-05,1.928441670324831e-05,4.965878764512432e-05,1.928441670324831e-05,1.0,1.0,5253.0,21.0,0.00078125,0.025,,,,,,
50,1.1147809634006622,4.195298691868253e-05,2.0021501449362858e-05,4.195298691868253e-05,2.0021501449362858e-05,1.0,1.0,4994.0,18.0,0.00078125,0.025,1.25,-1.7295139710254228,-0.6147330076247606,0.0004408292774123136,0.6445631443727006,0.25809139253726143
