step,kinetic_energy,p_norm,L_norm,dp_abs,dL_abs,dp_rel,dL_rel,active_total,force_evals,dt_min_effective,dt_max_effective,t,PE,E,dE_rel,Q_virial,r_hm
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1,0.00022900165329722664,7.234478575498943e-08,7.858404037425302e-08,7.234478575498943e-08,7.858404037425302e-08,1.0,1.0,1000.0,1.0,0.025,0.025,,,,,,
2,0.0009175733704700069,1.4933332955913792e-07,1.5215407036114212e-07,1.4933332955913792e-07,1.5215407036114212e-07,1.0,1.0,1000.0,1.0,0.025,0.025,,,,,,
3,0.0020704431571789287,2.238986546833525e-07,2.2590104840136216e-07,2.238986546833525e-07,2.2590104840136216e-07,1.0,1.0,1000.0,1.0,0.025,0.025,,,,,,
4,0.0036955844027751275,2.9642329710301345e-07,3.0506914857344644e-07,2.9642329710301345e-07,3.0506914857344644e-07,1.0,1.0,1000.0,1.0,0.025,0.025,,,,,,
5,0.005804356793937724,3.736419032878942e-07,3.806171736137565e-07,3.736419032878942e-07,3.806171736137565e-07,1.0,1.0,1001.0,2.0,0.0125,0.025,,,,,,
6,0.008411701898057193,4.5227910752138866e-07,4.4893959179199083e-07,4.5227910752138866e-07,4.4893959179199083e-07,1.0,1.0,1001.0,2.0,0.0125,0.025,,,,,,
7,0.011536398246687405,5.309752153022663e-07,4.846939178008377e-07,5.309752153022663e-07,4.846939178008377e-07,1.0,1.0,1002.0,2.0,0.0125,0.025,,,,,,
8,0.01520137540060958,6.148866319788523e-07,4.792537625265257e-07,6.148866319788523e-07,4.792537625265257e-07,1.0,1.0,1005.0,2.0,0.0125,0.025,,,,,,
9,0.019434078801845868,6.677451774999519e-07,4.440715751542811e-07,6.677451774999519e-07,4.440715751542811e-07,1.0,1.0,1007.0,2.0,0.0125,0.025,,,,,,
10,0.024266874055838602,7.521168013679762e-07,4.182444723111234e-07,7.521168013679762e-07,4.182444723111234e-07,1.0,1.0,1011.0,2.0,0.0125,0.025,0.25,-0.639269752761282,-0.6150028787054433,0.0,0.037960303848288614,0.7855381898859946
11,0.02973756261924793,9.395891045731983e-07,4.170889393077243e-07,9.395891045731983e-07,4.170889393077243e-07,1.0,1.0,1021.0,2.0,0.0125,0.025,,,,,,
12,0.03588999634239989,1.1346586098811409e-06,4.995157388715386e-07,1.1346586098811409e-06,4.995157388715386e-07,1.0,1.0,1036.0,2.0,0.0125,0.025,,,,,,
13,0.04277469554681964,1.302029928239389e-06,5.52031381667733e-07,1.302029928239389e-06,5.52031381667733e-07,1.0,1.0,1052.0,4.0,0.00625,0.025,,,,,,
14,0.05045035499128813,1.6519272427533942e-06,6.206974186384881e-07,1.6519272427533942e-06,6.206974186384881e-07,1.0,1.0,1081.0,7.0,0.003125,0.025,,,,,,
15,0.05898530194466492,2.1089171791537598e-06,5.902748434205902e-07,2.1089171791537598e-06,5.902748434205902e-07,1.0,1.0,1119.0,8.0,0.003125,0.025,,,,,,
16,0.06845976355322875,2.55666500406019e-06,7.987120824576882e-07,2.55666500406019e-06,7.987120824576882e-07,1.0,1.0,1148.0,4.0,0.00625,0.025,,,,,,
17,0.07896806844921835,2.9679866812131593e-06,9.71027096858002e-07,2.9679866812131593e-06,9.71027096858002e-07,1.0,1.0,1183.0,4.0,0.00625,0.025,,,,,,
18,0.0906226597681292,3.2921146782284883e-06,1.5120351171608112e-06,3.2921146782284883e-06,1.5120351171608112e-06,1.0,1.0,1219.0,6.0,0.003125,0.025,,,,,,
19,0.10356067207608487,3.140853780677518e-06,2.1367754749336008e-06,3.140853780677518e-06,2.1367754749336008e-06,1.0,1.0,1264.0,7.0,0.003125,0.025,,,,,,
20,0.11794770683313092,2.9158949368260686e-06,2.4551840913610755e-06,2.9158949368260686e-06,2.4551840913610755e-06,1.0,1.0,1325.0,7.0,0.003125,0.025,0.5,-0.7328863199844358,-0.6149386131513048,0.00010449634686880992,0.16093588271048062,0.7090235787285172
21,0.13398299488380402,3.537940981178628e-06,2.7041227971641225e-06,3.537940981178628e-06,2.7041227971641225e-06,1.0,1.0,1379.0,8.0,0.003125,0.025,,,,,,
22,0.15189363416326146,3.869255480433135e-06,3.5589054661548847e-06,3.869255480433135e-06,3.5589054661548847e-06,1.0,1.0,1446.0,8.0,0.003125,0.025,,,,,,
23,0.17188651517840003,4.750933606474725e-06,3.7821272670679736e-06,4.750933606474725e-06,3.7821272670679736e-06,1.0,1.0,1531.0,8.0,0.003125,0.025,,,,,,
24,0.1941116168868449,5.495684516923396e-06,4.2069602538674696e-06,5.495684516923396e-06,4.2069602538674696e-06,1.0,1.0,1618.0,8.0,0.003125,0.025,,,,,,
25,0.2187208100055442,7.782771881858297e-06,3.864336241143864e-06,7.782771881858297e-06,3.864336241143864e-06,1.0,1.0,1734.0,7.0,0.003125,0.025,,,,,,
26,0.24593357933994345,9.925708098228696e-06,4.798010712501159e-06,9.925708098228696e-06,4.798010712501159e-06,1.0,1.0,1831.0,8.0,0.003125,0.025,,,,,,
27,0.27602945534289625,1.3000147911792753e-05,5.887084222382e-06,1.3000147911792753e-05,5.887084222382e-06,1.0,1.0,1938.0,8.0,0.003125,0.025,,,,,,
28,0.3093317579449019,1.6285134492130978e-05,7.800889920250724e-06,1.6285134492130978e-05,7.800889920250724e-06,1.0,1.0,2061.0,10.0,0.0015625,0.025,,,,,,
29,0.3462377796965299,1.7833306929025348e-05,8.799063966133005e-06,1.7833306929025348e-05,8.799063966133005e-06,1.0,1.0,2127.0,14.0,0.0015625,0.025,,,,,,
30,0.3874106138386859,1.878598837476114e-05,1.2570164504224306e-05,1.878598837476114e-05,1.2570164504224306e-05,1.0,1.0,2177.0,10.0,0.0015625,0.025,0.75,-1.0022200627564501,-0.6148094489177642,0.0003145185077609285,0.38655244315621995,0.5720067680531636
31,0.4333564573554137,2.3449087395592477e-05,9.131040114748232e-06,2.3449087395592477e-05,9.131040114748232e-06,1.0,1.0,2302.0,10.0,0.0015625,0.025,,,,,,
32,0.484282523069448,2.80417924220356e-05,1.0112789049848455e-05,2.80417924220356e-05,1.0112789049848455e-05,1.0,1.0,2400.0,12.0,0.00078125,0.025,,,,,,
33,0.5412254846919702,3.564062218923474e-05,1.1093648960102896e-05,3.564062218923474e-05,1.1093648960102896e-05,1.0,1.0,2477.0,11.0,0.0015625,0.025,,,,,,
34,0.6067477525887256,3.551376268766486e-05,1.1997690865859432e-05,3.551376268766486e-05,1.1997690865859432e-05,1.0,1.0,2464.0,8.0,0.003125,0.025,,,,,,
35,0.6840635544480829,3.4826532861812124e-05,1.967021299932975e-05,3.4826532861812124e-05,1.967021299932975e-05,1.0,1.0,2483.0,9.0,0.0015625,0.025,,,,,,
36,0.7763858432052737,4.4309777770078965e-05,2.418178494243884e-05,4.4309777770078965e-05,2.418178494243884e-05,1.0,1.0,2596.0,8.0,0.003125,0.025,,,,,,
37,0.8892282393644987,3.302154318740146e-05,2.95101991581734e-05,3.302154318740146e-05,2.95101991581734e-05,1.0,1.0,2691.0,8.0,0.003125,0.025,,,,,,
38,1.0294833985156144,4.045803308362639e-05,3.8270882892619214e-05,4.045803308362639e-05,3.8270882892619214e-05,1.0,1.0,2879.0,10.0,0.0015625,0.025,,,,,,
39,1.1973281545429735,7.421329903093748e-05,6.218264015434481e-05,7.421329903093748e-05,6.218264015434481e-05,1.0,1.0,3219.0,12.0,0.0015625,0.025,,,,,,
40,1.3625029430167628,0.0001052950559765056,7.57034584170848e-05,0.0001052950559765056,7.57034584170848e-05,1.0,1.0,3547.0,15.0,0.0015625,0.025,1.0,-1.9777800189999586,-0.6152770759831958,0.00044584714518676417,0.6889052017552976,0.3775350736475641
41,1.4901522756539958,0.00011861652649799527,8.079555546166462e-05,0.00011861652649799527,8.079555546166462e-05,1.0,1.0,3625.0,15.0,0.0015625,0.025,,,,,,
42,1.556719303966366,0.00010510797223092726,9.595447453534416e-05,0.00010510797223092726,9.595447453534416e-05,1.0,1.0,3626.0,16.0,0.0015625,0.025,,,,,,
43,1.5483970355812549,0.00015235915032431717,7.699503237181164e-05,0.00015235915032431717,7.699503237181164e-05,1.0,1.0,3658.0,17.0,0.00078125,0.025,,,,,,
44,1.482766730028316,0.0001747895119878608,8.857519772058436e-05,0.0001747895119878608,8.857519772058436e-05,1.0,1.0,3609.0,15.0,0.0015625,0.025,,,,,,
45,1.3973165230049691,0.00018262929464834366,8.301934566287713e-05,0.00018262929464834366,8.301934566287713e-05,1.0,1.0,3384.0,14.0,0.0015625,0.025,,,,,,
46,1.3156575558637353,0.00016449405659969647,9.027145558964159e-05,0.00016449405659969647,9.027145558964159e-05,1.0,1.0,3168.0,12.0,0.0015625,0.025,,,,,,
47,1.243183955067521,0.00016561724883325674,0.0001008249300688433,0.00016561724883325674,0.0001008249300688433,1.0,1.0,2914.0,16.0,0.0015625,0.025,,,,,,
48,1.1867060425250187,0.00019723781868473568,0.00010636489463012696,0.00019723781868473568,0.00010636489463012696,1.0,1.0,2739.0,15.0,0.0015625,0.025,,,,,,
49,1.1442059968558291,0.00020051239148136511,0.00010042110772571097,0.00020051239148136511,0.00010042110772571097,1.0,1.0,2640.0,11.0,0.0015625,0.025,,,,,,
50,1.1146907217320647,0.00017145373790430834,9.723010300011605e-05,0.00017145373790430834,9.723010300011605e-05,1.0,1.0,2529.0,8.0,0.003125,0.025,1.25,-1.7299110328012253,-0.6152203110691605,0.0003535469039996551,0.6443630340498255,0.25806890828315276
51,1.0996812388352053,0.00016753856477759395,0.0001026801542732011,0.00016753856477759395,0.0001026801542732011,1.0,1.0,2387.0,11.0,0.0015625,0.025,,,,,,
