step,kinetic_energy,p_norm,L_norm,dp_abs,dL_abs,dp_rel,dL_rel,active_total,force_evals,dt_min_effective,dt_max_effective,t,PE,E,dE_rel,Q_virial,r_hm
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1,0.00022897628159894635,8.80064733365661e-08,1.0897057763668872e-07,8.80064733365661e-08,1.0897057763668872e-07,1.0,1.0,1528.0,2.0,0.0125,0.025,,,,,,
2,0.0009174711820199522,1.8091898008100392e-07,2.1748799511697007e-07,1.8091898008100392e-07,2.1748799511697007e-07,1.0,1.0,1529.0,2.0,0.0125,0.025,,,,,,
3,0.0020702114012302298,2.7534485131330483e-07,3.298919759869844e-07,2.7534485131330483e-07,3.298919759869844e-07,1.0,1.0,1530.0,2.0,0.0125,0.025,,,,,,
4,0.0036951675681449287,3.7016737067504553e-07,4.5448689707918255e-07,3.7016737067504553e-07,4.5448689707918255e-07,1.0,1.0,1533.0,2.0,0.0125,0.025,,,,,,
5,0.005803693779324726,4.637572996057181e-07,5.761853908953672e-07,4.637572996057181e-07,5.761853908953672e-07,1.0,1.0,1541.0,2.0,0.0125,0.025,,,,,,
6,0.008410726275462813,5.538994211468535e-07,6.987823902052234e-07,5.538994211468535e-07,6.987823902052234e-07,1.0,1.0,1550.0,2.0,0.0125,0.025,,,,,,
7,0.011535043023796033,6.518846018412126e-07,8.068217485694854e-07,6.518846018412126e-07,8.068217485694854e-07,1.0,1.0,1553.0,2.0,0.0125,0.025,,,,,,
8,0.015199554769512824,7.571441273087385e-07,8.780006599468861e-07,7.571441273087385e-07,8.780006599468861e-07,1.0,1.0,1563.0,2.0,0.0125,0.025,,,,,,
9,0.019431702692977913,8.671729124502967e-07,9.337109047022928e-07,8.671729124502967e-07,9.337109047022928e-07,1.0,1.0,1574.0,2.0,0.0125,0.025,,,,,,
10,0.024263846881081214,9.901834760525404e-07,1.0196272182369198e-06,9.901834760525404e-07,1.0196272182369198e-06,1.0,1.0,1587.0,2.0,0.0125,0.025,0.25,-0.6392730425033201,-0.6150091956222389,0.0,0.037955373162720525,0.785520132300696
11,0.029733735706732302,1.151255678929735e-06,1.1459245734957104e-06,1.151255678929735e-06,1.1459245734957104e-06,1.0,1.0,1605.0,2.0,0.0125,0.025,,,,,,
