t,N,KE,PE,E,dE_rel,px,py,pz,p_norm,Lz,Q,r_hm,com_x,com_y,com_z,t_over_tff
0.11105000000000001,200,0.010400014711683387,-0.7052541707457259,-0.6948541560340425,0.0,6.854727556581992e-06,-1.59287028323312e-05,1.6208503298456705e-05,2.3736605548640742e-05,9.181538298989997e-06,0.014746477430522043,0.7357088169831615,-6.089111246960912e-08,-6.749507867493e-07,8.66308925814239e-07,0.04999006345462332
0.22210000000000002,200,0.04593620601036232,-0.7404121124139784,-0.6944759064036161,0.0005443583047489164,0.00025876204667827095,-0.0001975680736735342,0.00022974672533267624,0.00039846517832463964,6.0044240395425445e-05,0.06204140267316227,0.7205358389203033,-1.0286691804007923e-06,-4.103530995587409e-06,7.384198859715108e-06,0.09998012690924664
0.33315,200,0.11182809777341728,-0.8059095656059478,-0.6940814678325306,0.0011120149383896602,0.0012245604503237752,-0.0005126254956063947,0.0002486485219305703,0.001350614409334184,0.0003211418078981266,0.13876010727002092,0.688711698922521,5.8247223897761456e-05,-4.4861715914774846e-05,4.920544784880325e-05,0.14997019036386994
0.44420000000000004,200,0.18889270852548287,-0.883524103427731,-0.6946313949022481,0.0003205868884282976,0.0009653121572784243,-0.00020100800485023626,-0.0001369049141016759,0.0009954771391190182,0.0006310963843616159,0.21379462970240698,0.6448442661707762,0.00018633519712033493,-8.301066112202891e-05,5.382546456941033e-05,0.19996025381849328
0.55525,200,0.2599477035162888,-0.9548204577482015,-0.6948727542319126,2.6765613630695205e-05,0.0016037225293288506,-0.0002917016988019885,-0.0003670368052643952,0.0016708476437364318,0.0006642583882496636,0.2722477314000329,0.6008315071496065,0.00032433993377285986,-0.00011014297597569556,1.5623826297905745e-05,0.2499503172731166
0.6663,200,0.3769636208090746,-1.071284697101305,-0.6943210762922305,0.0007671822024562105,0.002099225721015295,-0.00045349705027236014,-0.0007928709817680381,0.002289334531279282,0.000663227336757986,0.35187996414871536,0.5290378468413236,0.0005407883755332785,-0.00015626189124144692,-5.71784295564943e-05,0.2999403807277399
0.77735,200,0.6193114259878435,-1.3140288131412274,-0.6947173871533839,0.00019683106083618257,0.0016429262294401124,-0.0001513736638984343,-0.0012621324563830188,0.0020772816176339148,0.0005261334765724921,0.47130734105240807,0.44319677237661964,0.0007616354574427908,-0.00018615912655399594,-0.00019217268113089708,0.3499304441823632
0.8884000000000001,200,0.9437565648178917,-1.638595983553969,-0.6948394187360772,2.1209195969152367e-05,0.0016479850354517186,0.00025247627833014014,-0.0018375333720297862,0.0024811545380155984,0.00038923382431613575,0.5759543989427874,0.33198591076424466,0.0009338831843397287,-0.00016124250781052434,-0.00038668800541389334,0.39992050763698656
0.9994500000000001,200,1.3852836293223545,-2.081638781753797,-0.6963551524314426,0.0021601603507233713,0.0016308131446528134,0.0012967401551120241,-0.0016267974746053144,0.0026433986770887557,0.0007387430300062855,0.6654774312742396,0.24138413224374772,0.0010909432758986683,-0.00011308780884914484,-0.0005848340145239134,0.44991057109160987
1.1105,200,1.4163240286490741,-2.108785447752701,-0.6924614191036267,0.003443509561880833,0.0017864331885753231,0.001103543535281937,-0.002131772855481381,0.0029922579064768453,0.0006019514056684986,0.671630217364421,0.21229037709140997,0.00128932922553467,1.465715410930682e-05,-0.0008167795922165363,0.4999006345462332
1.2215500000000001,200,1.176487194414461,-1.8713225298293161,-0.6948353354148551,2.7085711474872387e-05,0.0029857026027578196,0.0011980591259498038,-0.001739144878553696,0.0036571013945454088,0.0005802785439935242,0.628692903366994,0.21611515179289442,0.0015804795995818096,0.0001473759106810435,-0.0010246212256804557,0.5498906980008565
