tag,distribution,N,variant,total_wall_s,total_gravity_s,mean_step_wall_s,E0,E_final,dE_rel_final,dE_rel_max,dE_rel_mean,dp_rel_final,dp_rel_max,dL_rel_final,dL_rel_max,Q_virial_final,r_hm_final,r_hm_init
plummer_a1_N200_V1_geom_bare,plummer_a1,200,V1_geom_bare,1.489999719,1.4747423030000002,0.001475882001,-3.5869769776062137,-2.083039226688437,0.4192772243331867,0.4229368382519546,0.2792479498665127,0.9999999999999994,1.0000000000000044,1.0553090980708633,1.3563284073921147,0.3604378147832217,1.1180557555157353,0.06548155242330438
plummer_a1_N200_V2_geom_soft,plummer_a1,200,V2_geom_soft,1.5165958069999999,1.501098638,0.001502247359,-3.5337979962842887,-2.0543414384164187,0.41865906297515765,0.41865906297515765,0.27821113509148615,1.0000000000000127,1.0000000000001792,0.44539124215346776,0.7317220361710791,0.32734589266010017,0.704412884919218,0.06471032927824398
plummer_a1_N200_V3_rel_bare,plummer_a1,200,V3_rel_bare,2.238174434,2.220481511,0.002221829377,-3.5270484310408454,-2.0894325101063265,0.4075974427462775,0.41297408563016513,0.2855403397455405,1.0000000000003704,1.0000000000265876,0.05744330553314238,0.05744330553314238,0.3415608227790859,1.0186750033523722,0.06370648245044981
plummer_a1_N200_V4_rel_soft,plummer_a1,200,V4_rel_soft,2.205930413,2.188913044,0.002190178456,-3.527047820176996,-1.9856253429106019,0.4370290837704156,0.4370290837704156,0.27746360641482076,1.0000000000001832,1.0000000001251894,0.010236358319091244,0.02355924931866473,0.3084724573549115,1.0751051069302413,0.06370639801135042
plummer_a1_N200_V5_rel_soft_consistent,plummer_a1,200,V5_rel_soft_consistent,2.328754265,2.310100407,0.002311450637,-3.52703324054101,-1.8740436470833455,0.4686628905159151,0.4686628905159151,0.2928043768151976,0.9999999999987016,1.0000000000236398,0.07164952223180739,0.07164952223180739,0.33377864885458003,1.029325277386393,0.06370533027527568
plummer_a2_N200_V1_geom_bare,plummer_a2,200,V1_geom_bare,1.505042384,1.4904160860000002,0.001491575322,-3.9789224253993978,-2.3297211672072935,0.41448439599235465,0.41448439599235465,0.2639288045466531,1.0000000000000038,1.000000000000058,0.6314272149218297,0.6782325869333331,0.3199727980656803,0.24545095238221643,0.05743362747679653
plummer_a2_N200_V2_geom_soft,plummer_a2,200,V2_geom_soft,1.485826078,1.4701316160000002,0.0014713488920000003,-3.982328027005168,-2.4383071189129892,0.3877181632506877,0.3896402773933436,0.26704820961849934,0.999999999999973,0.9999999999999918,0.2136606470795938,0.2411315212730953,0.3091464414015185,0.09688223861162894,0.05904761647784541
plummer_a2_N200_V3_rel_bare,plummer_a2,200,V3_rel_bare,2.327105524,2.309259399,0.0023105888080000004,-3.9869228902300304,-2.5172204922828083,0.3686307557010278,0.3686307557010278,0.22250210148462155,1.000000000002103,1.0000000000033749,0.007899918084939993,0.007985180025663199,0.31873614121796856,0.08519152663135521,0.060294150373618884
plummer_a2_N200_V4_rel_soft,plummer_a2,200,V4_rel_soft,2.29013806,2.2727508640000003,0.0022740417820000004,-3.986923647801751,-2.336857172096699,0.4138695950735953,0.4138909371274095,0.2560975032958955,0.9999999999952973,1.0000000002288711,0.011164287207525178,0.011893890479300128,0.2992394441343015,0.07937405720918216,0.06029400074542455
plummer_a2_N200_V5_rel_soft_consistent,plummer_a2,200,V5_rel_soft_consistent,2.463992982,2.44657815,0.002447874465,-3.9869238504808164,-2.5320030271210427,0.36492315326873187,0.36492315326873187,0.23003125301371788,1.0000000000089793,1.000000000009268,0.002047623556268703,0.0022870756676479694,0.30755680544730035,0.11784435407389571,0.060293516830123066
plummer_a6_N200_V1_geom_bare,plummer_a6,200,V1_geom_bare,1.451623369,1.436314963,0.001437485992,-2.0806056112692763,-1.8534824671699328,0.10916203574053938,0.10916203574053938,0.05794408437770555,1.000000000000009,1.000000000000301,0.510723279459574,0.5287392609657506,0.37391655877673663,0.10829842365168489,0.09450052295238237
plummer_a6_N200_V2_geom_soft,plummer_a6,200,V2_geom_soft,1.496472864,1.480853151,0.0014820618250000002,-2.0796110200624036,-1.8896724914698928,0.09133368055859373,0.09606095860327771,0.05352503520942582,0.9999999999999619,1.0000000000002673,0.008594472669256246,0.02459639851790774,0.3832599214025024,0.10725483395456553,0.09490225939399213
plummer_a6_N200_V3_rel_bare,plummer_a6,200,V3_rel_bare,2.289570034,2.272208939,0.0022735176690000004,-2.0848227803954824,-1.8890792589760306,0.09388976524053526,0.09388976524053526,0.05631493718820356,1.0000000000645866,1.0000000005666725,0.0016023814333548329,0.0016023814333548329,0.3570923733193164,0.109774640188296,0.09568315818861249
plummer_a6_N200_V4_rel_soft,plummer_a6,200,V4_rel_soft,2.30073282,2.2813735900000003,0.002282700727,-2.084822195122673,-1.8901228425494305,0.09338894848142493,0.09338894848142493,0.05652344817869791,0.9999999999887546,1.0000000003133378,0.001095277683505898,0.0011522581402822645,0.3880237487674843,0.115972362332602,0.09568313779253071
plummer_a6_N200_V5_rel_soft_consistent,plummer_a6,200,V5_rel_soft_consistent,2.380262083,2.36669402,0.0023678438160000003,-2.084821730309786,-1.8998010861831716,0.08874650596582272,0.09033355685777911,0.054694399882192775,1.0000000000023277,1.0000000005055236,0.001236660357560217,0.0013352300499119626,0.35861709071690634,0.11040766230854514,0.09568311595369475
uniform_N200_V1_geom_bare,uniform,200,V1_geom_bare,1.408108202,1.3926711230000002,0.0013938850850000002,-0.7056047686383277,-0.6893718871936231,0.023005628882059162,0.025153961000312832,0.019501097737944294,1.0,1.0,1.0,1.0,0.4833321132269611,0.6793891764035218,0.6838672517154344
uniform_N200_V2_geom_soft,uniform,200,V2_geom_soft,1.412774598,1.397667551,0.001398843308,-0.7061563558149757,-0.7016013417549112,0.006450432715864445,0.012618177785710767,0.006403772864774995,1.0,1.0,1.0,1.0,0.458127186750854,0.7484254742161374,0.6838605698004889
uniform_N200_V3_rel_bare,uniform,200,V3_rel_bare,1.981407355,1.9626640270000002,0.0019640488930000003,-0.7061785576988412,-0.6976179653068785,0.012122419037839848,0.01954584876466337,0.011299461178019025,1.0,1.0,1.0,1.0,0.44327708963304707,0.6914270814142932,0.6838453455757293
uniform_N200_V4_rel_soft,uniform,200,V4_rel_soft,1.9171876129999998,1.9022810920000002,0.001903440043,-0.7061787300636493,-0.685896509695367,0.02872108646837074,0.030446367750672495,0.01863890248264423,1.0,1.0,1.0,1.0,0.43010036909364513,0.771228348003473,0.6838453854212688
uniform_N200_V5_rel_soft_consistent,uniform,200,V5_rel_soft_consistent,2.053007047,2.0402817520000003,0.0020413768420000002,-0.7061786514263897,-0.7003668781610022,0.008229890911667294,0.010986425681872612,0.005707667881052062,1.0,1.0,1.0,1.0,0.4692055940877563,0.7660286942073364,0.6838453947445562
plummer_a1_N1000_V1_geom_bare,plummer_a1,1000,V1_geom_bare,22.591741312,22.539032056,0.022546257553,-3.5182888236207313,-2.3477020305259075,0.33271480875471526,0.33271480875471526,0.21981374841171608,1.0000000000000067,1.0000000000000273,0.9244944941831312,0.9244944941831312,0.31814062025092593,0.16507862041035376,0.05159577027629029
plummer_a1_N1000_V2_geom_soft,plummer_a1,1000,V2_geom_soft,22.820100463,22.769328149,0.022776049630000003,-3.5575592405059275,-2.267261943774444,0.36269172471966704,0.36269172471966704,0.22860139887272599,1.0000000000000249,1.0000000000002438,0.21398732268480367,0.4060476620722469,0.2944338449864838,0.14053024893500882,0.050625112690159874
plummer_a1_N1000_V3_rel_bare,plummer_a1,1000,V3_rel_bare,49.212198449,49.160557317000006,0.049168474773,-3.548731622120912,-2.3311893549158036,0.3430922360021804,0.3430922360021804,0.2125919982737812,1.0000000000009348,1.0000000000501157,0.04002055537663808,0.04693854025072758,0.2847098080242501,0.16533189637603768,0.05122147412494556
plummer_a1_N1000_V4_rel_soft,plummer_a1,1000,V4_rel_soft,49.868822112,49.816314194,0.049824219122,-3.548730320625924,-2.3724612578833444,0.3314619473635037,0.3314619473635037,0.20262475408219577,1.000000000005545,1.0000000005057013,0.01207877403279197,0.020435047092161294,0.288380755828601,0.15011045774790066,0.05122149386394736
