distribution,a_plummer,a_over_eps,N,variant,relative,softened_multipoles,mac_softening,mean_err,max_err,p95_err,rms_err,mean_angular_err,max_angular_err,time_bh_ms,time_direct_ms,opened_nodes,leaves_visited,max_depth,mean_depth
plummer_a6,0.300,6.00,1000,V1_geom_bare,0,0,bare,9.872232e-3,7.175914e-2,2.524732e-2,1.258354e-2,3.616995e-5,1.342227e-3,29.291,17.945,71586,179846,7,3.770
plummer_a6,0.300,6.00,1000,V2_geom_soft,0,1,bare,5.642957e-3,2.394059e-2,1.039456e-2,6.276379e-3,2.047626e-6,8.081142e-5,29.103,17.945,71586,179846,7,3.770
plummer_a6,0.300,6.00,1000,V3_rel_bare,1,0,bare,6.892017e-6,2.767511e-5,1.689436e-5,8.234720e-6,1.622142e-11,3.546786e-10,147.430,17.945,473607,804348,7,5.125
plummer_a6,0.300,6.00,1000,V4_rel_soft,1,1,bare,6.630982e-6,2.222616e-5,1.460627e-5,7.901075e-6,5.236813e-12,1.503737e-10,147.474,17.945,473607,804348,7,5.125
plummer_a6,0.300,6.00,1000,V5_rel_soft_consistent,1,1,consistent,7.970231e-6,2.474186e-5,1.702682e-5,9.463644e-6,7.080749e-12,1.469787e-10,148.122,17.945,460757,792042,7,5.101
uniform_sphere,0.000,0.00,1000,V1_geom_bare,0,0,bare,3.036994e-3,9.364134e-2,1.013201e-2,7.246883e-3,1.864293e-5,2.636620e-3,26.437,17.318,56224,189416,7,3.209
uniform_sphere,0.000,0.00,1000,V2_geom_soft,0,1,bare,1.629404e-3,2.645874e-2,4.088168e-3,2.283159e-3,1.800582e-6,3.499342e-4,26.507,17.318,56224,189416,7,3.209
uniform_sphere,0.000,0.00,1000,V3_rel_bare,1,0,bare,1.860962e-5,1.430596e-4,3.927940e-5,2.203662e-5,1.654169e-10,9.179942e-9,101.580,17.318,277922,598410,7,4.131
uniform_sphere,0.000,0.00,1000,V4_rel_soft,1,1,bare,1.849152e-5,1.691248e-4,3.932318e-5,2.207582e-5,1.619168e-10,9.253981e-9,99.396,17.318,277922,598410,7,4.131
uniform_sphere,0.000,0.00,1000,V5_rel_soft_consistent,1,1,consistent,1.865524e-5,1.697677e-4,3.956373e-5,2.224187e-5,1.645761e-10,9.390847e-9,102.098,17.318,276985,597232,7,4.128
