distribution,N,r_local_vs_global,local_min,local_max,global_min,global_max
plummer_a1,200,-0.2941524644916565,1.586559e-06,0.1359199,0.4075974427462775,0.4686628905159151
plummer_a1,1000,0.3368417471031632,7.381537e-07,0.08600824,0.3236689276651252,0.362691724719667
plummer_a2,200,0.4182339011538482,3.912499e-06,0.03914578,0.3649231532687318,0.4144843959923546
plummer_a2,1000,0.9270838672258811,4.634084e-06,0.03343058,0.2412550923239492,0.2836530098912143
plummer_a6,200,0.6467330224746736,5.89274e-06,0.01308879,0.0887465059658227,0.1091620357405393
plummer_a6,1000,0.6122298890071958,6.630982e-06,0.009872232,0.0250507187373627,0.0380361597292197
uniform,200,-0.06096113136586536,7.806137e-06,0.003829828,0.0064504327158644,0.0287210864683707
uniform,1000,-0.797945003439137,1.849152e-05,0.003036994,0.0009700768402466,0.0032758524192733
