variant,dt_nominal,is_adaptive,a_target,a_actual,n_steps,wall_s,median_abs_log_err,mean_ratio,std_ratio,cv_ratio,delta_rms,v_rms
dt_4e-4,0.0004,False,0.02,0.02,0,6e-08,0.0354440791970301,1.0344185533775345,0.11425000301681676,0.11044852457815364,0.0,9.84960138242462e-10
dt_4e-4,0.0004,False,0.05,0.05010025762297841,249,37.329340313,9.236395053607769,2105277621.511023,1549802734.6603782,0.7361512414443644,1.0041114211549185,50.14883732393221
dt_4e-4,0.0004,False,0.1,0.10001930123040291,855,133.799434482,8.653905988382675,515277479.21210134,359190453.1375492,0.6970816067622029,0.9943689110435825,50.61640236861782
dt_2e-4,0.0002,False,0.02,0.02,0,3e-08,0.0354440791970301,1.0344185533775345,0.11425000301681676,0.11044852457815364,0.0,9.84960138242462e-10
dt_2e-4,0.0002,False,0.05,0.05005008886702392,497,53.666447737,9.216681887391195,2080947506.7550526,1373109453.7855206,0.6598481938291145,1.0014637724351292,34.52674676285532
dt_2e-4,0.0002,False,0.1,0.10001930123037647,1710,208.347858515,8.627230929188507,516186351.66022587,388759987.02115124,0.7531388340097925,1.0011589963325007,34.75321760191287
adaptive_cosmo,,True,0.02,0.02,0,7e-08,0.0354440791970301,1.0344185533775345,0.11425000301681676,0.11044852457815364,0.0,9.84960138242462e-10
adaptive_cosmo,,True,0.05,0.050012445807417844,1985,560.208113984,9.253446212673627,2113126084.5703993,1520540988.7057352,0.7195694567439229,0.9963005300077633,10.611208425724287
adaptive_cosmo,,True,0.1,0.10000153462321716,6838,1218.456524286,8.654272924027534,541283993.7565067,407950944.3545949,0.753672654392417,1.0015551871807913,10.90709852157215
