t,N,KE,PE,E,dE_rel,px,py,pz,p_norm,Lz,Q,r_hm,com_x,com_y,com_z,t_over_tcross,run
0.25,200,0.17525103911007486,-0.9128537418641465,-0.7376027027540716,0.0,-4.723798789509899e-05,-1.4246168979581642e-07,-1.5141688368215929e-05,4.960562994611342e-05,-0.008791933244948306,0.19198150927463276,0.5227275785992322,-9.848659004323965e-06,-5.208353964284812e-07,-4.586807869022647e-06,0.10206207261596577,serial
0.5,200,0.46970848546694144,-1.2070546566012577,-0.7373461711343162,0.0003477910517376373,-6.232440905556822e-05,-3.813366672747726e-05,-4.978315471932402e-05,8.84130702781905e-05,-0.008802928844969098,0.38913605353175523,0.4174338497876069,-2.3917083831101e-05,-5.176157785766004e-06,-2.528235870868932e-06,0.20412414523193154,serial
0.75,200,1.096958131421324,-1.8359848258093996,-0.7390266943880757,0.0019305672670221574,-0.00024078133896499268,4.867334484207212e-05,-0.00040043429120453273,0.0004697790643104123,-0.008817264614099575,0.5974766871712714,0.2502128223775992,-5.195070708858393e-05,2.3971569841072406e-06,-3.353996218691004e-05,0.3061862178478973,serial
1.0,200,1.2320109272399935,-1.9717644399934682,-0.7397535127534747,0.002915946472772356,2.321545845752993e-05,7.285471435548228e-05,-0.00040078168661241505,0.0004080106950057857,-0.008766735052113837,0.6248266285013613,0.2077870044220431,-7.802860977600872e-05,1.9810040614169558e-05,-0.00013789909222742264,0.4082482904638631,serial
1.25,200,0.796796234671698,-1.535994786136499,-0.7391985514648011,0.002163561365449019,-3.3477443367167915e-05,0.00017348139099880838,-0.0004165016547448443,0.000452426967191918,-0.008717021581859954,0.5187493094790292,0.29258109844713676,-7.444477725428975e-05,6.613175178355898e-05,-0.00023056517024779312,0.5103103630798288,serial
1.5,200,0.6364157014891108,-1.3750400858119534,-0.7386243843228426,0.0013851380491913296,-0.0001905489006352531,2.792191774360681e-05,-0.00024111292491279325,0.0003085837966967588,-0.008722459556041402,0.462834289746041,0.3154234112223218,-9.655983104406433e-05,0.00010073078140698878,-0.0003161594846391457,0.6123724356957946,serial
1.75,200,0.6541170187938549,-1.3928146514145268,-0.7386976326206719,0.0014844439459238,-0.000297751067978004,0.00029863092424623145,-0.000730107155198916,0.0008431444629900943,-0.00874132260110442,0.4696368020895968,0.3101042653792754,-0.00017383591595564397,0.00013539810074536033,-0.0004457587535045735,0.7144345083117604,serial
2.0,200,0.5825237178170168,-1.3202562337951032,-0.7377325159780863,0.0001759934223804107,-0.00022871249869802133,0.00021923203506152435,-0.0005719338189967342,0.000653819841829612,-0.008766864091224454,0.44122019870532303,0.3194706019965133,-0.00022068771700274126,0.00019633300809955304,-0.0006151135491639099,0.8164965809277261,serial
2.25,200,0.5795298977702741,-1.317312192027608,-0.737782294257334,0.00024347999619829124,-0.0003264645421965967,5.755339949829191e-05,-0.0006072554479975009,0.0006918458428205584,-0.008713657542311726,0.43993360213136806,0.31524951938592066,-0.0002893670395252372,0.00023293579413985585,-0.0007614562365834758,0.9185586535436918,serial
2.5,200,0.6160209682491542,-1.3540858857644817,-0.7380649175153275,0.000626644614411172,-0.0002353230624292673,0.0002728941071325951,-0.0006386117530587816,0.000733261964487178,-0.008766496034670628,0.45493493043933825,0.3019790440312537,-0.00036228968428082304,0.0002514984720513093,-0.0009266622771851421,1.0206207261596576,serial
2.75,200,0.5122238913257057,-1.2501264587420575,-0.7379025674163519,0.00040653953837293464,-0.00037566163515385725,0.00040649667919402823,-0.0006579394117212466,0.0008597938612355537,-0.008766185915677358,0.40973766113320415,0.3336311458972213,-0.00042826473021468134,0.00033249800227855346,-0.0010818846906661785,1.1226827987756234,serial
3.0,200,0.5155783858925032,-1.2542012347559983,-0.7386228488634952,0.0013830563603069031,-0.00039682244327427776,0.00020219528935851047,-0.0006628517217860288,0.000798575852126548,-0.00873712841201133,0.4110810702501083,0.35031039594791624,-0.0005349924249908406,0.0004185416951882074,-0.0012646700975803163,1.2247448713915892,serial
3.25,200,0.5561661773053351,-1.2949768576607803,-0.7388106803554452,0.0016377076668282595,-0.0006053339758344831,-0.00014891382827736968,-0.0007669557717629328,0.0009883449329016062,-0.008682140123317795,0.4294796266166349,0.32603740409130344,-0.000656948388354062,0.0004143326930892831,-0.001421050663688559,1.326806944007555,serial
3.5,200,0.553609083825194,-1.2922186331307386,-0.7386095493055446,0.0013650255723218012,-0.0008240112784898267,0.00016635115859744702,-0.0009385357613005558,0.0012599669322189235,-0.008678885209702399,0.42841750585497346,0.3197486796847034,-0.00084126142750737,0.0004017724051289218,-0.0016240025458329154,1.4288690166235207,serial
3.75,200,0.4814696044147776,-1.2200231679484155,-0.7385535635336379,0.0012891232312679448,-0.0009553878368667755,0.0001898554315111645,-0.0010716078672198162,0.0014481555250713475,-0.008642995516217796,0.3946397224770857,0.33865105326659345,-0.0010587601694442542,0.00045158657275552874,-0.0018771102917175167,1.5309310892394865,serial
4.0,200,0.5147647243084308,-1.2537068808945533,-0.7389421565861225,0.001815955699524482,-0.0007567739135837947,9.23508212481452e-05,-0.0011519837095522471,0.0013814130075903788,-0.008648807454738614,0.41059416052748504,0.3138568114344242,-0.0012672993298651664,0.0004905752814761484,-0.00215574840346699,1.6329931618554523,serial
4.25,200,0.5954344561806595,-1.3356753970415736,-0.7402409408609141,0.0035767739149976034,-0.0010903849084586237,3.60117923502971e-05,-0.0010128656973982422,0.0014886682030421116,-0.008623791074174901,0.4457927858067197,0.2850521177798125,-0.0014948042686140051,0.0005014739425562584,-0.0024355639559955696,1.735055234471418,serial
4.5,200,0.642434608250656,-1.383091023352739,-0.7406564151020829,0.004140050377539742,-0.0011019857522332982,0.000243248789311906,-0.0010274750342212792,0.0015261872485297849,-0.008622218726508956,0.4644919223706158,0.2618481938243758,-0.001781382053101573,0.0005542527551529868,-0.0026782614377505827,1.8371173070873836,serial
4.75,200,0.659878554539555,-1.4015168016411843,-0.7416382471016293,0.005471162636050185,-0.0008985469010464055,0.0004693202452243913,-0.0008429220410472974,0.0013183950823789216,-0.008648744586789771,0.470831711590495,0.24945353369885664,-0.0020340403721839494,0.000656374454190219,-0.0029364730363276204,1.9391793797033494,serial
5.0,200,0.6517403307524282,-1.3924510904471181,-0.7407107596946899,0.004213727700581117,-0.0007084278573613939,0.000399425877474404,-0.0008149732247022962,0.001151343744354184,-0.008650087191209889,0.4680525838384409,0.2543543110960159,-0.0022484042870431894,0.0007688813533918021,-0.0031643292630526582,2.041241452319315,serial
5.25,200,0.66554446243075,-1.4059031589008035,-0.7403586964700535,0.0037364203055269838,-0.0003666739343154917,0.0003639571463970867,-0.0007541576917289991,0.0009141490045468101,-0.008634886168859685,0.4733928209899619,0.23812437342697984,-0.002383771507178508,0.0008680246624183046,-0.0033600173122703882,2.143303524935281,serial
5.5,200,0.6348034898818758,-1.3753045012737202,-0.7405010113918443,0.003929362822222578,-0.00048667293611024293,0.00015087273983948536,-0.0009146047509524999,0.0010469550997219135,-0.008608005046003316,0.4615730474916362,0.24882416288969295,-0.0024760684627438286,0.0009280345776628814,-0.0035618494532504105,2.2453655975512468,serial
5.75,200,0.5500432094780107,-1.2902241954559914,-0.7401809859779808,0.0034954904778444445,-0.00036870469975901367,0.0002962589303677675,-0.0008557381358837142,0.0009777526612864689,-0.008607798246778287,0.4263159933096854,0.2738567302685982,-0.002581157808867522,0.0009790240193489645,-0.003779549645319119,2.3474276701672125,serial
6.0,200,0.6268427966664496,-1.368021650558835,-0.7411788538923854,0.004848343322172074,-0.0002763766072652578,8.838583291050214e-05,-0.0007863420289332626,0.0008381705500491041,-0.008597687225115426,0.4582111667680005,0.252585902153204,-0.0026587148596682727,0.0010187081618874302,-0.003982586991237902,2.4494897427831783,serial
6.25,200,0.6061972847334319,-1.3465254419410768,-0.7403281572076449,0.0036950169019134083,-0.0004677483018091908,-9.18465183275322e-05,-0.0003648496310552927,0.0006002828583721633,-0.008589224307357462,0.45019371030938066,0.26571540024701634,-0.002756596588563096,0.0010126741392028214,-0.00414395627586293,2.551551815399144,serial
6.5,200,0.5974794758394807,-1.3379035375493633,-0.7404240617098826,0.003825038798362054,-0.0005824697571658599,-4.578664475393866e-05,-9.891122856554732e-05,0.0005925798393356165,-0.008586223027619121,0.4465788893374804,0.2628605644611275,-0.002890955260009168,0.0010032384616130777,-0.004197448825116464,2.65361388801511,serial
6.75,200,0.6108477463691632,-1.351519149025647,-0.7406714026564839,0.004160369655580659,-0.00035549003610247455,-0.0002447387180526673,-2.7464236423196826e-05,0.000432463281868543,-0.008597134663056899,0.4519712109218302,0.27190971957734195,-0.003010319086946908,0.0009689842945785445,-0.004221065785582042,2.7556759606310757,serial
7.0,200,0.5295206705904328,-1.2691227935805403,-0.7396021229901074,0.0027107007994552723,-0.00025971925259856045,-0.0002541685639673335,2.8853011485862083e-08,0.0003633947576837999,-0.008607212682267874,0.4172335988832973,0.2907411528306828,-0.0030939918024209417,0.0009011725385009104,-0.0042190219077024044,2.8577380332470415,serial
7.25,200,0.5788500491810027,-1.319892826311321,-0.7410427771303183,0.004663858149383288,6.683601108674602e-05,-0.0005468019201649342,5.867639741603427e-05,0.0005539876459703511,-0.008607003823053887,0.4385583720450271,0.26761112739957305,-0.0031280115271203088,0.0007759064603689351,-0.004209264635858386,2.9598001058630072,serial
7.5,200,0.5365619670446501,-1.2760550104453445,-0.7394930434006944,0.002562816865454364,0.00012184536850822399,-0.0005034253226678257,-2.5852516291015815e-05,0.000518605535960316,-0.008624447195861393,0.42048498117443184,0.2767755695584949,-0.003096813905540764,0.0006335405250896381,-0.004192483097878944,3.061862178478973,serial
