path,N,steps,mean_step_wall_s,comm_fraction,gravity_fraction,a_final,v_rms,delta_rms,ke
Fase21_slab_1d,512,20,0.01774070515,0.16995272028406377,0.8219425962332731,0.0682457184264002,382.10744619505215,2.8449516691852605,340.01010642554576
Fase22_slab_3d,512,20,0.017638742300000003,0.17064895834438262,0.8220801320964931,0.0682457184264002,382.10744619505215,2.8449516691852605,340.01010642554576
Fase23_sr_sfc,512,20,0.0178928796,0.17118087018257253,0.8214498324797312,0.0682457184264002,382.10744619505215,2.8449516691852605,340.01010642554576
