tag,distribution,N,integrator,total_wall_s,total_gravity_s,mean_step_wall_s,E0,E_final,dE_rel_final,dE_rel_max,dE_rel_mean,dp_rel_final,dp_rel_max,dL_rel_final,dL_rel_max,Q_virial_final,r_hm_final,r_hm_init
plummer_a1_N200_leapfrog,plummer_a1,200,leapfrog,2.983616735,2.949671529,0.0029531084020000004,-3.52703324054101,-1.8740436470833455,0.4686628905159151,0.4686628905159151,0.2928043768151976,0.9999999999987016,1.0000000000236398,0.07164952223180739,0.07164952223180739,0.33377864885458003,1.029325277386393,0.06370533027527568
plummer_a1_N200_yoshida4,plummer_a1,200,yoshida4,5.748749443,5.703599728,0.0057108035170000005,-3.936211637800823,-1.329922239657024,0.6621314192343436,0.6621314192343436,0.5080430939089574,0.9999999999998328,1.0000000000091964,0.06946095870953,0.06946095870953,0.3899047948012674,0.9864051760124496,0.04698728673965037
plummer_a2_N200_leapfrog,plummer_a2,200,leapfrog,2.474215755,2.4575307790000003,0.002458926265,-3.9869238504808164,-2.5320030271210427,0.36492315326873187,0.36492315326873187,0.23003125301371788,1.0000000000089793,1.000000000009268,0.002047623556268703,0.0022870756676479694,0.30755680544730035,0.11784435407389571,0.060293516830123066
plummer_a2_N200_yoshida4,plummer_a2,200,yoshida4,4.793033659,4.771015670000001,0.004773860983,-3.845522609877973,-1.692523323409711,0.5598717014269697,0.5598717014269697,0.4127669846275843,0.9999999999930104,1.0000000000496405,0.029662689721997537,0.029662689721997537,0.37733630166524035,0.3333153975609515,0.04771274435179788
uniform_N200_leapfrog,uniform,200,leapfrog,2.078413667,2.060209828,0.002061596093,-0.7061786514263897,-0.7003668781610022,0.008229890911667294,0.010986425681872612,0.005707667881052062,1.0,1.0,1.0,1.0,0.4692055940877563,0.7660286942073364,0.6838453947445562
uniform_N200_yoshida4,uniform,200,yoshida4,4.07768662,4.063265415,0.004065402646,-0.7061967872204074,-0.6650257889552887,0.058299611397508305,0.058299611397508305,0.03634018196019463,1.0,1.0,1.0,1.0,0.448840147115119,0.6845234827679725,0.6838401325651654
plummer_a1_N1000_leapfrog,plummer_a1,1000,leapfrog,54.708821459,54.650866972,0.054662605532,-3.548709799938882,-2.400102704397943,0.3236689276651252,0.3236689276651252,0.19508013378086153,0.9999999999754088,0.9999999999955438,0.03903935596566527,0.04036658515256534,0.3047384250544069,0.18821987795980105,0.05122193782695209
plummer_a1_N1000_yoshida4,plummer_a1,1000,yoshida4,95.329016093,95.261444057,0.095281488545,-3.9245565790836068,-1.5544431433984123,0.6039187836702361,0.6039187836702361,0.4381053201995313,1.0000000000006668,1.0000000000006668,0.17161947701895414,0.17161947701895414,0.37221576092361014,0.44111650173279404,0.04661881852399326
plummer_a2_N1000_leapfrog,plummer_a2,1000,leapfrog,58.938471208,58.880403345000005,0.058890235256000005,-4.060140509470237,-3.080610936009789,0.24125509232394923,0.24125509232394923,0.1297025216892125,0.9999999999801195,1.0000000000075684,0.03335316251914196,0.038676582304735065,0.28014561359622625,0.10016830892457103,0.05662788230038898
plummer_a2_N1000_yoshida4,plummer_a2,1000,yoshida4,103.874392287,103.80753250900001,0.103825451491,-4.03161151129362,-2.003650968655005,0.5030148705939935,0.5030148705939935,0.3489550515440349,1.0000000000026013,1.000000000109066,0.1821555296175591,0.1821555296175591,0.363885439229899,0.14996845119682306,0.05160748867272741
uniform_N1000_leapfrog,uniform,1000,leapfrog,44.728925662,44.674930696000004,0.044683340194000006,-0.6150028984928403,-0.6170175572257282,0.0032758524192733024,0.011827556041959833,0.0022979916447764693,1.0,1.0,1.0,1.0,0.45717837473171036,0.6472137964409728,0.7855381957975622
uniform_N1000_yoshida4,uniform,1000,yoshida4,88.971718044,88.906936008,0.08892104534800001,-0.6150141537075761,-0.6129857820575177,0.003298089381895354,0.0036353397841877464,0.00211990805855488,1.0,1.0,1.0,1.0,0.4722429325716493,0.658977703224433,0.7855393891645719
