system,integrator,dt,err_rel_max,fitted_slope
harmonic,leapfrog,0.2,0.008340130855988382,1.9995370257491258
harmonic,leapfrog,0.1,0.002086591107966572,1.9995370257491258
harmonic,leapfrog,0.05,0.0005217564193843296,1.9995370257491258
harmonic,leapfrog,0.025,0.00013044496117445062,1.9995370257491258
harmonic,yoshida4,0.2,0.00010466882067922275,4.013410274164982
harmonic,yoshida4,0.1,0.0000063982449756302164,4.013410274164982
harmonic,yoshida4,0.05,0.00000039767525378723124,4.013410274164982
harmonic,yoshida4,0.025,0.000000024820194014232624,4.013410274164982
