step,kinetic_energy,p_norm,L_norm,dp_abs,dL_abs,dp_rel,dL_rel,t,PE,E,dE_rel,Q_virial,r_hm
0,2.9452431127404295,1.2718315369458018e-16,0.0034383823041535828,0.0,0.0,0.0,0.0,,,,,,
1,1.9698956105832814,7.3659811409502e-06,0.003438350761259527,7.3659811410179405e-06,7.269289433992089e-08,1.0000000000091964,2.1141597387849373e-05,,,,,,
2,0.9230383283244792,8.575387995555503e-06,0.0034383565276716235,8.575387995619508e-06,5.816485164629433e-08,1.0000000000074638,1.6916342192673254e-05,,,,,,
3,1.1021508625873293,8.88674367897151e-06,0.0034383663774578462,8.886743679034782e-06,5.1843536099655804e-08,1.0000000000071199,1.5077885910775122e-05,,,,,,
4,1.788756483782003,9.915697770007448e-06,0.003438368278154806,9.915697770071602e-06,5.1376012343226644e-08,1.00000000000647,1.4941913899790658e-05,,,,,,
5,1.764521848235901,1.2841946076880546e-05,0.003438355075758468,1.2841946076946537e-05,5.516283182283177e-08,1.0000000000051388,1.6043251431405635e-05,,,,,,
6,1.403267144340116,1.4476979802510132e-05,0.0034383488245470963,1.447697980257654e-05,6.264804404236611e-08,1.000000000004587,1.822020895311349e-05,,,,,,
7,1.240233659386056,1.4895706598376785e-05,0.0034383521949252764,1.4895706598442096e-05,5.420217225368555e-08,1.0000000000043845,1.5763858541328885e-05,,,,,,
8,1.3380607038317884,1.5176925602399978e-05,0.0034383644086651327,1.5176925602463533e-05,4.0024201814866914e-08,1.0000000000041875,1.1640416415160548e-05,,,,,,
9,1.6724897558426157,1.537174296435486e-05,0.0034383891005562305,1.5371742964417865e-05,5.756026105966631e-08,1.0000000000040987,1.674047333687591e-05,,,,,,
10,1.696096640454284,1.5210681151597152e-05,0.003438406633694092,1.5210681151660351e-05,7.369077552427992e-08,1.000000000004155,2.1431663957997132e-05,0.25,-5.632308278255107,-3.936211637800823,0.0,0.3011370394980823,0.04698728673965037
11,1.4664001873609405,1.4888664759468275e-05,0.003438431613392623,1.4888664759530507e-05,9.329624763586464e-08,1.0000000000041798,2.7133373039172163e-05,,,,,,
12,1.5119274213558738,1.545367144593218e-05,0.003438448317211309,1.545367144599307e-05,1.339292844090828e-07,1.0000000000039402,3.895050093924451e-05,,,,,,
13,1.4655273233878217,1.5854775515742072e-05,0.0034384032515908766,1.585477551580114e-05,1.9564443882343038e-07,1.0000000000037257,5.689979461626841e-05,,,,,,
14,1.2717850078694903,1.621732304125744e-05,0.0034383663288696208,1.6217323041313965e-05,2.3287878354501534e-07,1.0000000000034854,6.7729171146471e-05,,,,,,
