step,kinetic_energy,p_norm,L_norm,dp_abs,dL_abs,dp_rel,dL_rel,t,PE,E,dE_rel,Q_virial,r_hm
0,0.49087385212340523,3.0975305037917107e-16,0.006924154078379165,0.0,0.0,0.0,0.0,,,,,,
1,0.48870511459669147,1.4131780988930377e-07,0.006924146370503991,1.4131780987871136e-07,9.949138712285159e-09,0.9999999999250455,1.4368742520261904e-06,,,,,,
2,0.5359235699787773,9.115912175910427e-08,0.006924140162740449,9.115912166241455e-08,1.7484032221306604e-08,0.9999999989393302,2.5250784461745165e-06,,,,,,
3,0.6690498893452134,2.6618193868784825e-07,0.006924151370081821,2.6618193863883734e-07,7.947999509349928e-09,0.9999999998158744,1.1478657781703248e-06,,,,,,
4,0.8885014129219322,5.268823856323061e-07,0.006924164393885404,5.268823856378399e-07,1.1591646787725136e-08,1.000000000010503,1.6740860164963004e-06,,,,,,
5,1.2006334811817543,7.79411844903979e-07,0.006924169844645021,7.794118449180774e-07,1.6225311783382492e-08,1.0000000000180886,2.34328622021465e-06,,,,,,
6,1.6450870324119942,8.883903475465286e-07,0.006924170252920213,8.883903475564368e-07,1.6561882202403574e-08,1.0000000000111529,2.3918941327906737e-06,,,,,,
7,2.124323405466605,9.514700748649402e-07,0.006924170898163547,9.51470074888053e-07,1.736424764957988e-08,1.0000000000242917,2.507772830128339e-06,,,,,,
8,2.3937548596974003,9.818111855133944e-07,0.006924170971832044,9.818111855514304e-07,1.7613932411921287e-08,1.0000000000387406,2.5438326817139344e-06,,,,,,
9,2.314938251127639,9.998448356365883e-07,0.006924170550183733,9.998448356922716e-07,1.723012212915082e-08,1.000000000055692,2.488402329820374e-06,,,,,,
10,1.9895833683557291,9.770935801173773e-07,0.006924170017339236,9.770935801945875e-07,1.678798882104646e-08,1.0000000000790203,2.4245489031907987e-06,0.25,-4.074405563478402,-2.084822195122673,0.0,0.4883125494893497,0.09568313779253071
11,1.5924292086952616,9.060785409008242e-07,0.006924168660434927,9.060785409788965e-07,1.5751742495405296e-08,1.000000000086165,2.2748929536352287e-06,,,,,,
12,1.2713461307974532,7.547700433065936e-07,0.00692416847023263,7.547700433854412e-07,1.6195409776959276e-08,1.0000000001044658,2.3389681875281063e-06,,,,,,
13,1.0764580860286792,5.654847075018668e-07,0.006924172131801858,5.654847075933542e-07,1.9170197248640002e-08,1.0000000001617857,2.768590509267336e-06,,,,,,
14,0.9865549784917494,4.417310001221087e-07,0.00692417503405004,4.4173100021323414e-07,2.1801843788072336e-08,1.0000000002062917,3.148655786553702e-06,,,,,,
15,0.9545946758532183,2.977164427813936e-07,0.006924180250872307,2.977164428746794e-07,2.6335290977112347e-08,1.0000000003133378,3.803380331382135e-06,,,,,,
16,0.9430872325513259,1.8538337029071257e-07,0.006924186138378143,1.8538337032256185e-07,3.245182450757756e-08,1.0000000001718024,4.68673485360386e-06,,,,,,
17,0.9487376778778868,1.6397372590760532e-07,0.006924185175636173,1.639737257859066e-07,3.250483070029581e-08,0.9999999992578157,4.6943907298535475e-06,,,,,,
18,0.9494479341808741,2.3107725972081552e-07,0.006924151341203703,2.3107725975118742e-07,9.374500398532609e-09,1.0000000001314362,1.3538838524412258e-06,,,,,,
19,0.9691135903186423,4.0743377793218557e-07,0.006924118868826778,4.0743377804590954e-07,4.2004809966182637e-08,1.0000000002791225,6.066417571114376e-06,,,,,,
20,1.0291737070976126,5.685507721507541e-07,0.006924107443199,5.68550772250051e-07,9.770425972575297e-08,1.0000000001746492,1.4110642053855622e-05,0.5,-3.097130875181131,-2.0679571680835185,0.008089431836733801,0.33229906922723207,0.1079773289818192
21,1.104519978094308,7.46158363625048e-07,0.0069241080259471776,7.46158363687816e-07,1.500732533088042e-07,1.0000000000841216,2.1673875481398007e-05,,,,,,
22,1.1597957145286433,8.209760817691059e-07,0.0069241215937885445,8.209760817948916e-07,1.535201929208699e-07,1.0000000000314087,2.2171689304292104e-05,,,,,,
23,1.1714427005415256,9.55094038083692e-07,0.0069241446462738636,9.550940380869189e-07,1.5212443260113147e-07,1.0000000000033784,2.1970110843740987e-05,,,,,,
24,1.1368594549698743,1.111099011106505e-06,0.006924157203890096,1.1110990111073286e-06,1.633123970682882e-07,1.0000000000007412,2.358588811018572e-05,,,,,,
25,1.0878316222252917,1.2484533321603513e-06,0.0069241477306078636,1.2484533321726002e-06,1.681322080331495e-07,1.0000000000098113,2.4281985370335172e-05,,,,,,
26,1.067967231772986,1.2612505771610026e-06,0.006924153973701878,1.2612505771730953e-06,1.7513820322989299e-07,1.0000000000095879,2.5293805026200408e-05,,,,,,
27,1.0656037525718294,1.244044652954336e-06,0.0069241632761872654,1.2440446529667056e-06,1.79290152252046e-07,1.0000000000099432,2.589340330385315e-05,,,,,,
28,1.0583280037423646,1.2166035878597076e-06,0.006924177402490601,1.2166035878736212e-06,1.8168270464887122e-07,1.0000000000114364,2.623888645364872e-05,,,,,,
29,1.0741328530054643,1.216502451823157e-06,0.006924189531807192,1.2165024518386232e-06,1.9129609497024193e-07,1.0000000000127136,2.7627218187991202e-05,,,,,,
30,1.1213888457439911,1.3284932748577056e-06,0.006924183670740874,1.32849327487642e-06,1.804043957494528e-07,1.000000000014087,2.6054247594814292e-05,0.75,-3.195368271939852,-2.0739794261958613,0.005200812305326497,0.3509419729774107,0.10370826325994341
31,1.181960157701614,1.5009506087682348e-06,0.0069241772049315154,1.5009506087934461e-06,1.7274233293181505e-07,1.0000000000167968,2.494770538350536e-05,,,,,,
32,1.238154061061823,1.6630334395957624e-06,0.006924168548989471,1.663033439634171e-06,1.6817561586783779e-07,1.0000000000230955,2.4288203656218295e-05,,,,,,
33,1.2486637574091493,1.7799139575409443e-06,0.00692415810833059,1.7799139575959504e-06,1.6149040678084051e-07,1.0000000000309037,2.3322749748673164e-05,,,,,,
34,1.2315648601239646,1.8359253012988813e-06,0.006924167384604109,1.8359253013640726e-06,1.6372661814746694e-07,1.0000000000355087,2.3645675942426406e-05,,,,,,
35,1.2441436500114469,1.9096955203576655e-06,0.006924177482105441,1.909695520433661e-06,1.8637269537362835e-07,1.0000000000397944,2.6916221580871125e-05,,,,,,
36,1.2811068996036812,1.937102748241721e-06,0.0069241766139801555,1.937102748327805e-06,2.1747484703827687e-07,1.0000000000444396,3.14080444740805e-05,,,,,,
37,1.3113993125525727,1.918586223299065e-06,0.006924177626730097,1.9185862233918296e-06,2.3278440182545838e-07,1.0000000000483504,3.361906848357232e-05,,,,,,
38,1.3050710456568722,2.003045105991816e-06,0.00692417991077329,2.0030451060864656e-06,2.2044879889031776e-07,1.0000000000472529,3.1837531914403725e-05,,,,,,
39,1.2978940573364872,2.12057392207209e-06,0.00692418047496514,2.1205739221638845e-06,1.9815766773256153e-07,1.0000000000432876,2.8618212429472985e-05,,,,,,
40,1.291314643306512,2.137375092473504e-06,0.006924174083674151,2.1373750925648743e-06,2.0373164953634985e-07,1.000000000042749,2.9423241974332975e-05,1.0,-3.3567525005752366,-2.0654378572687246,0.009297837436351663,0.38469164559651725,0.09131316072581806
41,1.2362327919342528,2.0543403286489566e-06,0.006924166485623934,2.0543403287371916e-06,2.3309288358567819e-07,1.0000000000429505,3.366367404215791e-05,,,,,,
42,1.1521913019208494,2.0253991064544167e-06,0.006924161765164512,2.02539910653537e-06,2.5185196920209324e-07,1.0000000000399691,3.6372918158723784e-05,,,,,,
43,1.0966097179062277,2.0028996988723777e-06,0.006924155609092349,2.002899698949061e-06,2.590222030575539e-07,1.000000000038286,3.740848959509558e-05,,,,,,
44,1.1174667353271042,1.949579145269664e-06,0.006924153118080943,1.9495791453445476e-06,2.5028605170850174e-07,1.0000000000384102,3.6146805642298726e-05,,,,,,
45,1.162968970055388,1.9709977483895726e-06,0.00692415251193534,1.970997748464635e-06,2.2436943819758257e-07,1.0000000000380835,3.2403877160703496e-05,,,,,,
46,1.2141607278994313,2.036128536569051e-06,0.006924149014932945,2.0361285366542496e-06,2.1376897795588363e-07,1.0000000000418434,3.0872937767716974e-05,,,,,,
47,1.2813711413817674,2.0275697804630224e-06,0.006924139255944176,2.0275697805622045e-06,2.474328655486858e-07,1.0000000000489166,3.573474286502387e-05,,,,,,
48,1.2807581816475901,1.8848587701551642e-06,0.006924128428407279,1.8848587702744259e-06,3.08424832802017e-07,1.0000000000632734,4.4543323171429826e-05,,,,,,
49,1.2119631204926495,1.7651372280167435e-06,0.006924116579748958,1.7651372281582094e-06,3.481019908500427e-07,1.0000000000801443,5.02735766578331e-05,,,,,,
50,1.1394955497467587,1.7555571215499696e-06,0.006924104209443144,1.755557121695354e-06,3.7457831989050543e-07,1.000000000082814,5.409734036106087e-05,1.25,-3.193941368128765,-2.054445818382006,0.01457024815436584,0.35676783585240174,0.0976821109946417
51,1.0877973013101776,1.7186824696565242e-06,0.006924102804424051,1.718682469798865e-06,3.85139429552222e-07,1.0000000000828198,5.5622596665609875e-05,,,,,,
52,1.055869419816507,1.6797076809624104e-06,0.006924102385294628,1.679707681107873e-06,3.930551788540079e-07,1.0000000000866,5.6765804805143206e-05,,,,,,
53,1.0350483383096505,1.6600054910884414e-06,0.006924099291074508,1.6600054912358734e-06,4.103023772344506e-07,1.000000000088814,5.925667924051971e-05,,,,,,
54,1.0584297234789086,1.66766604997811e-06,0.00692409936921089,1.6676660501292954e-06,4.299886595140303e-07,1.0000000000906568,6.20998109872627e-05,,,,,,
55,1.1361023721391432,1.6786424306929785e-06,0.0069241051987552924,1.6786424308460803e-06,4.480441468889342e-07,1.0000000000912057,6.470742011474913e-05,,,,,,
56,1.2253930783252835,1.6914762306235835e-06,0.006924106775244283,1.6914762307803545e-06,4.575631106685069e-07,1.000000000092683,6.608216765384504e-05,,,,,,
57,1.2858942471316874,1.7389943768071e-06,0.006924108184959718,1.7389943769806949e-06,4.772631266464993e-07,1.0000000000998248,6.892728284842255e-05,,,,,,
58,1.2977210851892402,1.8043081222859304e-06,0.006924112248421282,1.804308122464958e-06,4.833293263475006e-07,1.0000000000992224,6.980337538367436e-05,,,,,,
59,1.2854023326463766,1.8919156520576635e-06,0.006924123430397114,1.891915652233683e-06,4.861371138425688e-07,1.0000000000930376,7.020888159617122e-05,,,,,,
60,1.2659854958818808,1.9171380106302724e-06,0.006924132058989873,1.9171380108109433e-06,4.900119957267784e-07,1.00000000009424,7.076849968674909e-05,1.5,-3.3267816531382453,-2.0607961572563642,0.011524262319595625,0.380543608772052,0.09384246510878042
61,1.2302863850960506,1.8579601003363286e-06,0.006924122808205211,1.857960100518804e-06,5.021739789850832e-07,1.0000000000982128,7.252495731617719e-05,,,,,,
62,1.204081925724136,1.8332623853715655e-06,0.006924118306546583,1.8332623855483811e-06,5.140078389619787e-07,1.0000000000964486,7.423402673360206e-05,,,,,,
63,1.2053843879375337,1.8963573860122207e-06,0.006924114877233214,1.896357386189563e-06,5.167770847903027e-07,1.0000000000935172,7.463396668250802e-05,,,,,,
64,1.2063421153906964,1.957003767675925e-06,0.006924108186814238,1.957003767858373e-06,5.382486333456613e-07,1.000000000093228,7.773493010884252e-05,,,,,,
65,1.2015865676545257,1.9848281331223767e-06,0.006924107618277632,1.9848281333041076e-06,5.580871254681816e-07,1.00000000009156,8.060004430155907e-05,,,,,,
66,1.1891633856350254,2.041124370276594e-06,0.006924114756381952,2.041124370448957e-06,5.627622412749797e-07,1.0000000000844451,8.127523375486662e-05,,,,,,
67,1.1568178339042277,2.102099367838433e-06,0.006924122680740745,2.102099368009084e-06,5.648411633661108e-07,1.000000000081181,8.157547578697601e-05,,,,,,
68,1.1584725633165902,2.090288535005897e-06,0.006924131206533532,2.0902885351808383e-06,5.490917658677523e-07,1.0000000000836924,7.930091671158853e-05,,,,,,
69,1.2056890084754734,2.0816699477308398e-06,0.006924137783158724,2.081669947898205e-06,5.255435360039249e-07,1.0000000000803995,7.590003487139996e-05,,,,,,
70,1.265523581105814,2.1399340404967068e-06,0.006924137674825462,2.13993404065822e-06,5.171769937455322e-07,1.0000000000754756,7.46917223232264e-05,1.75,-3.3186331519460706,-2.0531095708402565,0.015211188923739662,0.3813387991871599,0.08776269452741675
