step,kinetic_energy,p_norm,L_norm,dp_abs,dL_abs,dp_rel,dL_rel,t,PE,E,dE_rel,Q_virial,r_hm
0,1.4726215563702156,3.2841557608924704e-16,0.0071623150518959405,0.0,0.0,0.0,0.0,,,,,,
1,1.4197845826456506,0.0009983911826450384,0.007160053793339358,0.0009983911826448421,1.3872877814126999e-05,0.9999999999998035,0.0019369264984307973,,,,,,
2,1.4137742852568584,0.0014694745112239452,0.0071582026555628234,0.0014694745112237256,1.5092853327216213e-05,0.9999999999998506,0.0021072590660782195,,,,,,
3,1.5102901835832752,0.0011418263714066098,0.007161122352697419,0.0011418263714063773,1.32479812298923e-05,0.9999999999997964,0.0018496786491380912,,,,,,
4,1.4721411043547434,0.0007137223391283927,0.007174662402083696,0.0007137223391282608,1.672257154262428e-05,0.9999999999998153,0.0023307816598823715,,,,,,
5,1.2353433367605158,0.00112164812230221,0.007182255384468974,0.00112164812230212,2.148111368919097e-05,0.9999999999999197,0.0029908590741067323,,,,,,
6,1.1761561738739494,0.0015792691577655184,0.007180219448730581,0.0015792691577654024,2.405147725477933e-05,0.9999999999999265,0.003349685539072414,,,,,,
7,1.3574077549204988,0.0017915204473269463,0.007189229187317028,0.001791520447326803,3.6575694791625994e-05,0.99999999999992,0.0050875683385016406,,,,,,
8,1.4837348070589875,0.0022845584457573368,0.007200182219342775,0.002284558445757184,4.580691618500144e-05,0.9999999999999332,0.006361910683585817,,,,,,
9,1.4834567062053223,0.002562162779966361,0.007204856502354109,0.002562162779966196,4.931549628812226e-05,0.9999999999999357,0.0068447575981574315,,,,,,
10,1.469295510490618,0.0024879740414254442,0.007202328626144949,0.002487974041425265,4.7660472491231884e-05,0.9999999999999281,0.006617369876489818,0.25,-5.451623537495786,-3.982328027005168,0.0,0.2695152187939855,0.05904761647784541
11,1.4673592599919834,0.0024207811018540906,0.007200210816510062,0.0024207811018539397,4.776125029488419e-05,0.9999999999999376,0.006633312761533007,,,,,,
12,1.4437428968629222,0.002435022826779829,0.007207995360517984,0.0024350228267797326,5.299966174257412e-05,0.9999999999999605,0.00735289898116214,,,,,,
13,1.3637229029996467,0.0023740052241360814,0.007205459364072318,0.0023740052241359726,5.0647000334317465e-05,0.9999999999999541,0.007028975916074452,,,,,,
14,1.2675727909836214,0.0024494462509486144,0.007192447596486187,0.0024494462509484214,4.060964159030143e-05,0.9999999999999212,0.0056461504996075254,,,,,,
15,1.3381035874829983,0.0029049260064561797,0.007183005926209821,0.0029049260064559677,3.2956082714485205e-05,0.999999999999927,0.00458806286017848,,,,,,
16,1.466567134320284,0.0031506242694131076,0.007176492178433628,0.0031506242694129055,2.8940804452035666e-05,0.9999999999999358,0.004032722914268181,,,,,,
17,1.4162002156614115,0.0031964361044275,0.0071733600323549895,0.003196436104427305,2.657184914661483e-05,0.9999999999999389,0.0037042402760720464,,,,,,
18,1.3440637966681535,0.0032544902947790467,0.007175842339418095,0.0032544902947788702,2.901733271777568e-05,0.9999999999999457,0.004043752823048891,,,,,,
19,1.3934467712620908,0.0031721288629788192,0.007177875904772535,0.0031721288629786727,3.141975722359183e-05,0.9999999999999538,0.004377305715567051,,,,,,
20,1.4262998971496814,0.002923516265101681,0.007175124769861825,0.0029235162651015823,2.7561613273885945e-05,0.9999999999999661,0.003841273031188935,0.5,-5.370637145196099,-3.9443372480464176,0.009539841695893846,0.26557368494452677,0.051343225612699384
